p_c2_btree_ios                    604.229 ms
p_c200_btree_ios                    5.727 ms
p_c20k_btree_ios                    0.180 ms
p_c1m_btree_ios                     0.120 ms
p_c200_btree_bitmap                79.197 ms
and3_btree                         84.584 ms
grp_c200_btree_ios               1408.833 ms
grp_c2_btree_ios                 1407.265 ms
range_c20k_btree_ios                5.770 ms
fetch_c200_btree                   75.523 ms
p_c2_gin_bitmap                  1692.181 ms
p_c200_gin_bitmap                  86.852 ms
p_c20k_gin_bitmap                   0.879 ms
p_c1m_gin_bitmap                    0.135 ms
and3_gin                          185.391 ms
range_c20k_gin_bitmap             781.746 ms
fetch_c200_gin                     91.445 ms
p_c2_roaring_bitmap              1096.008 ms
p_c200_roaring_bitmap              73.154 ms
p_c200_clustered_roaring_bitmap        7.115 ms
p_c20k_roaring_bitmap               0.829 ms
p_c1m_roaring_bitmap                0.132 ms
and3_roaring                       64.679 ms
range_c20k_roaring_bitmap         970.349 ms
fetch_c200_roaring                 81.088 ms
p_c2_pushdown                       2.570 ms
p_c200_pushdown                     0.375 ms
p_c200_clustered_pushdown           0.115 ms
p_c20k_pushdown                     0.162 ms
p_c1m_pushdown                      0.116 ms
and3_pushdown                       4.937 ms
grp_c200_pushdown                  55.706 ms
grp_c2_pushdown                     5.602 ms
grp_c200_seqscan                 2473.410 ms
grp_c2_seqscan                   2038.464 ms
p_c2_rb_naive                       2.376 ms
p_c2_rb_vmall                       3.247 ms
p_c2_rb_vm95                      197.774 ms
p_c200_rb_naive                     0.165 ms
p_c200_rb_vmall                     0.603 ms
p_c200_rb_vm95                      5.144 ms
p_c20k_rb_naive                     0.130 ms
p_c20k_rb_vmall                     0.220 ms
p_c20k_rb_vm95                      0.432 ms
p_c1m_rb_naive                      0.122 ms
p_c1m_rb_vmall                      0.150 ms
p_c1m_rb_vm95                       0.202 ms
and3_rb_naive                       6.331 ms
and3_rb_vm95                        7.332 ms
grp_c200_rb_naive                   8.085 ms
grp_c200_rb_vmall                 102.267 ms
grp_c200_rb_vm95                  931.222 ms
grp_c2_rb_naive                     4.864 ms
grp_c2_rb_vmall                     7.083 ms
grp_c2_rb_vm95                    361.412 ms
range_c20k_rb_naive                11.995 ms
fetch_c200_rb_tidscan              66.024 ms
BENCH_DONE
