Rows,Variant,Clients,Query,Transactions/s,Median ms,p95 ms,Duration s
1000000,roaring,1,and2,1954.8,0.503,0.590,5.00
1000000,roaring,4,and2,7408.4,0.520,0.677,5.00
1000000,roaring,8,and2,3543.1,2.482,4.004,5.00
1000000,roaring_bitmap,1,and2,311.7,3.133,3.699,5.00
1000000,roaring_bitmap,4,and2,1230.1,3.116,3.994,5.00
1000000,roaring_bitmap,8,and2,2030.2,3.870,4.881,5.00
1000000,brin,1,and2,13.8,71.325,83.065,5.02
1000000,brin,4,and2,53.5,74.422,81.833,5.07
1000000,brin,8,and2,89.7,87.902,100.217,5.08
1000000,seq,1,and2,16.1,61.178,81.344,5.04
1000000,seq,4,and2,81.0,48.997,52.626,5.04
1000000,seq,8,and2,139.6,56.625,64.196,5.04
1000000,btree_tuned,1,and2,2788.8,0.351,0.407,5.00
1000000,btree_tuned,4,and2,10121.4,0.370,0.523,5.00
1000000,btree_tuned,8,and2,2949.5,2.661,4.048,5.00
1000000,gist,1,and2,309.3,3.130,3.721,5.00
1000000,gist,4,and2,1209.4,3.156,4.106,5.00
1000000,gist,8,and2,2002.2,3.949,4.919,5.00
1000000,hash (partial),1,and2,313.8,3.085,3.668,5.00
1000000,hash (partial),4,and2,1222.4,3.115,4.087,5.00
1000000,hash (partial),8,and2,2107.4,3.720,4.654,5.00
1000000,btree,1,and2,337.0,2.924,3.250,5.00
1000000,btree,4,and2,1286.7,2.954,3.926,5.00
1000000,btree,8,and2,2192.8,3.594,4.463,5.00
1000000,gin,1,and2,27.8,35.578,40.304,5.03
1000000,gin,4,and2,107.1,36.985,41.097,5.03
1000000,gin,8,and2,182.3,43.395,49.908,5.04
5000000,brin,1,and2,2.4,410.117,417.695,5.34
5000000,brin,4,and2,11.3,342.043,412.422,5.30
5000000,brin,8,and2,21.8,354.562,429.607,5.14
5000000,roaring,1,and2,569.5,1.714,2.023,5.00
5000000,roaring,4,and2,2227.5,1.718,2.225,5.00
5000000,roaring,8,and2,3923.3,2.037,2.451,5.00
5000000,roaring_bitmap,1,and2,26.6,36.856,41.420,5.00
5000000,roaring_bitmap,4,and2,96.6,41.158,44.772,5.01
5000000,roaring_bitmap,8,and2,165.9,48.135,51.492,5.01
5000000,seq,1,and2,2.5,395.547,410.456,5.16
5000000,seq,4,and2,11.5,341.060,394.535,5.24
5000000,seq,8,and2,22.6,336.556,400.462,5.30
5000000,btree_tuned,1,and2,1069.8,0.920,0.993,5.00
5000000,btree_tuned,4,and2,3980.0,0.968,1.260,5.00
5000000,btree_tuned,8,and2,6293.7,1.191,1.653,5.00
5000000,hash (partial),1,and2,65.8,14.868,17.169,5.02
5000000,hash (partial),4,and2,246.5,15.970,18.336,5.01
5000000,hash (partial),8,and2,425.7,18.710,21.208,5.02
5000000,gin,1,and2,5.8,172.097,182.210,5.00
5000000,gin,4,and2,22.0,182.091,190.513,5.10
5000000,gin,8,and2,37.4,210.981,225.348,5.13
5000000,btree,1,and2,68.8,14.271,16.418,5.00
5000000,btree,4,and2,267.9,14.621,16.919,5.01
5000000,btree,8,and2,465.4,17.111,19.534,5.01
5000000,gist,1,and2,68.7,14.185,16.493,5.01
5000000,gist,4,and2,256.0,15.329,17.608,5.02
5000000,gist,8,and2,445.4,17.807,20.351,5.02
