Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
documents,200000,gin,ix_grp,0.484,26.259,26.159–26.325,0.381,3,built
documents,200000,gin,ix_tags,2.070,103.244,100.400–113.906,1.360,3,built
documents,200000,gin,ix_tsv,4.305,211.395,202.423–212.477,2.686,3,built
documents,200000,gist,ix_grp,3.867,138.518,127.398–150.991,3.932,3,built
documents,200000,gist,ix_tsv,9.992,3267.475,3229.153–3303.481,8.637,3,built
documents,200000,roaring,ix_grp,0.977,103.175,99.346–104.755,0.494,3,built
documents,200000,roaring,ix_tags,2.750,464.289,449.133–507.096,2.299,3,built
documents,200000,roaring,ix_tsv,5.305,1011.081,928.344–1132.358,4.705,3,built
scalar,1000000,brin,ix_c1m,0.031,58.041,50.632–61.622,0.138,3,built
scalar,1000000,brin,ix_c2,0.031,54.154,50.997–54.806,0.136,3,built
scalar,1000000,brin,ix_c20,0.031,56.114,49.065–59.923,0.136,3,built
scalar,1000000,brin,ix_c200,0.031,54.434,53.161–57.599,0.137,3,built
scalar,1000000,brin,ix_c20k,0.031,54.314,49.217–54.791,0.137,3,built
scalar,1000000,brin,ix_clustered,0.031,59.000,49.353–60.316,0.139,3,built
scalar,1000000,brin,ix_nullable,0.031,55.346,53.090–65.168,0.138,3,built
scalar,1000000,brin,ix_skew,0.031,59.715,51.788–60.690,0.138,3,built
scalar,1000000,btree,ix_c1m,18.812,237.025,236.162–246.281,17.067,3,built
scalar,1000000,btree,ix_c2,6.633,213.038,201.906–216.497,6.042,3,built
scalar,1000000,btree,ix_c20,6.641,235.729,224.866–238.201,6.043,3,built
scalar,1000000,btree,ix_c200,6.719,223.245,220.496–232.827,6.046,3,built
scalar,1000000,btree,ix_c20k,6.805,205.491,202.315–210.273,6.322,3,built
scalar,1000000,btree,ix_clustered,6.656,169.003,161.586–177.787,6.040,3,built
scalar,1000000,btree,ix_nullable,6.719,227.014,219.197–227.830,6.043,3,built
scalar,1000000,btree,ix_skew,6.656,192.023,177.791–201.029,6.046,3,built
scalar,1000000,btree_tuned,ix_c1m,18.812,244.812,233.349–247.110,17.069,3,built
scalar,1000000,btree_tuned,ix_c2,6.633,200.856,194.915–202.319,6.041,3,built
scalar,1000000,btree_tuned,ix_c20,6.641,234.427,234.376–245.940,6.040,3,built
