Rows,Family,Operation,Elapsed attempt ms,WAL MiB,Indexes MiB after,Status
1000000,roaring,insert,570.828,90.547,85.227,ok
1000000,roaring,indexed_update,702.732,112.299,88.055,ok
1000000,roaring,delete,137.647,72.981,88.055,ok
1000000,roaring,vacuum,1140.706,316.493,88.055,ok
1000000,roaring,reindex,6744.794,94.871,72.828,ok
1000000,brin,insert,24.646,1.548,0.438,ok
1000000,brin,indexed_update,85.103,4.768,0.438,ok
1000000,brin,delete,141.625,72.983,0.438,ok
1000000,brin,vacuum,291.739,76.758,0.438,ok
1000000,brin,reindex,388.897,0.621,0.438,ok
1000000,seq,insert,19.175,1.548,0.000,ok
1000000,seq,indexed_update,70.952,4.768,0.000,ok
1000000,seq,delete,142.459,72.983,0.000,ok
1000000,seq,vacuum,228.833,76.046,0.000,ok
1000000,seq,reindex,2.440,0.024,0.000,ok
1000000,btree_tuned,insert,252.447,46.032,197.508,ok
1000000,btree_tuned,indexed_update,668.229,56.402,201.094,ok
1000000,btree_tuned,delete,143.901,72.911,201.094,ok
1000000,btree_tuned,vacuum,704.067,225.021,201.094,ok
1000000,btree_tuned,reindex,2682.699,162.379,180.133,ok
1000000,gist,insert,439.463,59.906,295.656,ok
1000000,gist,indexed_update,450.487,63.894,297.234,ok
1000000,gist,delete,129.297,72.981,297.234,ok
1000000,gist,vacuum,566.135,229.667,297.234,ok
1000000,gist,reindex,5534.512,154.464,155.078,ok
1000000,hash (partial),insert,352.796,35.511,254.523,ok
1000000,hash (partial),indexed_update,418.821,38.994,255.609,ok
1000000,hash (partial),delete,136.988,72.981,255.609,ok
1000000,hash (partial),vacuum,671.351,195.867,255.609,ok
1000000,hash (partial),reindex,20652.927,409.084,250.344,ok
1000000,btree,insert,169.300,35.461,70.445,ok
1000000,btree,indexed_update,488.182,40.482,71.773,ok
1000000,btree,delete,141.194,72.981,71.773,ok
1000000,btree,vacuum,380.279,137.032,71.773,ok
1000000,btree,reindex,1768.748,59.146,65.703,ok
1000000,gin,insert,84.162,13.839,68.617,ok
1000000,gin,indexed_update,131.221,17.083,70.180,ok
1000000,gin,delete,136.830,72.981,70.180,ok
1000000,gin,vacuum,616.514,144.858,70.867,ok
1000000,gin,reindex,2738.146,31.544,60.281,ok
5000000,brin,insert,109.087,7.704,0.938,ok
5000000,brin,indexed_update,482.789,23.721,0.938,ok
5000000,brin,delete,852.607,364.913,0.938,ok
5000000,brin,vacuum,2493.769,383.099,0.938,ok
5000000,brin,reindex,3433.245,2.786,0.938,ok
5000000,roaring,insert,2869.842,434.996,333.891,ok
5000000,roaring,indexed_update,4677.845,512.967,362.594,ok
5000000,roaring,delete,994.566,364.903,362.594,ok
5000000,roaring,vacuum,7370.095,1189.409,362.852,ok
5000000,roaring,reindex,35041.542,224.632,216.656,ok
5000000,seq,insert,74.386,7.704,0.000,ok
5000000,seq,indexed_update,419.476,23.714,0.000,ok
5000000,seq,delete,889.705,364.899,0.000,ok
5000000,seq,vacuum,1846.265,379.995,0.000,ok
5000000,seq,reindex,2.360,0.021,0.000,ok
5000000,btree_tuned,insert,1162.542,173.082,930.516,ok
5000000,btree_tuned,indexed_update,2608.111,213.442,944.555,ok
5000000,btree_tuned,delete,1212.319,364.544,944.555,ok
5000000,btree_tuned,vacuum,5399.960,1085.416,944.555,ok
5000000,btree_tuned,reindex,16636.283,776.109,862.102,ok
5000000,hash (partial),insert,2751.234,167.031,1115.234,ok
5000000,hash (partial),indexed_update,3385.219,183.726,1119.648,ok
5000000,hash (partial),delete,951.592,364.903,1119.648,ok
5000000,hash (partial),vacuum,4245.252,877.026,1119.648,ok
5000000,hash (partial),reindex,58909.488,778.260,—,error
5000000,gin,insert,365.817,69.077,199.711,ok
5000000,gin,indexed_update,985.148,85.129,199.711,ok
5000000,gin,delete,1121.616,364.903,199.711,ok
5000000,gin,vacuum,3843.292,580.152,199.711,ok
5000000,gin,reindex,13741.230,102.648,164.938,ok
5000000,btree,insert,825.098,127.176,303.531,ok
5000000,btree,indexed_update,1965.691,151.588,308.039,ok
5000000,btree,delete,958.776,364.903,308.039,ok
5000000,btree,vacuum,3600.494,648.342,308.039,ok
5000000,btree,reindex,11547.122,260.198,289.406,ok
5000000,gist,insert,2512.095,256.228,1489.523,ok
5000000,gist,indexed_update,2948.165,275.460,1500.539,ok
5000000,gist,delete,1030.454,364.903,1500.539,ok
5000000,gist,vacuum,4694.892,1143.081,1500.539,ok
5000000,gist,reindex,38502.772,772.183,774.602,ok
