Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
documents,200000,clean,default,64MB,array_and,gin,10,0.855,0.826–0.894,0.956,6.3%,38.40,"Bitmap Heap Scan, Bitmap Index Scan",0.053,0.908
documents,200000,clean,default,64MB,array_and,gist,10,31.604,30.720–33.302,34.592,4.9%,1.04,Seq Scan (fallback),0.051,31.656
documents,200000,clean,default,64MB,array_and,roaring,10,0.103,0.102–0.103,0.106,1.7%,318.95,RoaringCount,0.074,0.178
documents,200000,clean,default,64MB,array_and,roaring_bitmap,10,0.177,0.175–0.197,0.206,7.3%,185.60,"Bitmap Heap Scan, Bitmap Index Scan",0.053,0.229
documents,200000,clean,default,64MB,array_and,seq,10,32.852,31.079–37.601,40.161,10.9%,1.00,Seq Scan,0.048,32.906
documents,200000,clean,default,64MB,array_common,gin,10,3.729,3.686–3.880,3.909,2.6%,8.28,"Bitmap Heap Scan, Bitmap Index Scan",0.052,3.780
documents,200000,clean,default,64MB,array_common,gist,10,30.994,30.579–32.257,33.464,3.7%,1.00,Seq Scan (fallback),0.050,31.046
documents,200000,clean,default,64MB,array_common,roaring,10,0.023,0.022–0.024,0.025,4.5%,1342.74,RoaringCount,0.072,0.096
documents,200000,clean,default,64MB,array_common,roaring_bitmap,10,3.276,3.238–3.438,3.490,3.1%,9.43,"Bitmap Heap Scan, Bitmap Index Scan",0.053,3.328
documents,200000,clean,default,64MB,array_common,seq,10,30.883,30.460–31.463,35.964,7.9%,1.00,Seq Scan,0.046,30.937
documents,200000,clean,default,64MB,array_contained,gin,10,10.540,10.239–10.740,10.838,2.7%,3.07,"Bitmap Heap Scan, Bitmap Index Scan",0.068,10.603
documents,200000,clean,default,64MB,array_contained,gist,10,32.678,32.164–34.148,36.845,5.8%,0.99,Seq Scan (fallback),0.063,32.758
documents,200000,clean,default,64MB,array_contained,roaring,10,58.443,55.977–59.122,61.801,4.6%,0.55,"Bitmap Heap Scan, Bitmap Index Scan",0.067,58.504
documents,200000,clean,default,64MB,array_contained,roaring_bitmap,10,59.519,58.011–61.544,62.404,4.0%,0.54,"Bitmap Heap Scan, Bitmap Index Scan",0.065,59.584
documents,200000,clean,default,64MB,array_contained,seq,10,32.407,31.349–33.776,35.092,4.5%,1.00,Seq Scan,0.061,32.466
documents,200000,clean,default,64MB,array_empty,gin,10,27.907,27.243–28.587,28.878,2.5%,1.02,Seq Scan (fallback),0.051,27.959
documents,200000,clean,default,64MB,array_empty,gist,10,28.250,27.706–29.791,34.385,10.7%,1.01,Seq Scan (fallback),0.049,28.299
documents,200000,clean,default,64MB,array_empty,roaring,10,28.941,28.224–30.986,33.114,7.0%,0.99,Seq Scan (fallback),0.051,28.992
documents,200000,clean,default,64MB,array_empty,roaring_bitmap,10,28.520,27.835–29.513,30.814,4.3%,1.00,Seq Scan (fallback),0.050,28.575
documents,200000,clean,default,64MB,array_empty,seq,10,28.515,27.594–32.050,36.224,11.4%,1.00,Seq Scan,0.045,28.561
documents,200000,clean,default,64MB,array_fetch,gin,10,4.158,4.012–4.661,5.230,11.1%,7.66,"Bitmap Heap Scan, Bitmap Index Scan",0.058,4.214
documents,200000,clean,default,64MB,array_fetch,gist,10,31.439,30.957–32.128,35.151,6.3%,1.01,Seq Scan (fallback),0.052,31.491
documents,200000,clean,default,64MB,array_fetch,roaring,10,3.686,3.609–3.763,4.150,6.9%,8.65,"Bitmap Heap Scan, Bitmap Index Scan",0.058,3.740
documents,200000,clean,default,64MB,array_fetch,roaring_bitmap,10,3.667,3.588–3.743,3.931,4.2%,8.69,"Bitmap Heap Scan, Bitmap Index Scan",0.059,3.723
documents,200000,clean,default,64MB,array_fetch,seq,10,31.861,30.813–34.006,35.590,6.0%,1.00,Seq Scan,0.049,31.913
documents,200000,clean,default,64MB,array_group,gin,10,7.871,7.596–8.067,8.154,3.2%,5.48,"Bitmap Heap Scan, Bitmap Index Scan",0.065,7.934
documents,200000,clean,default,64MB,array_group,gist,10,42.367,41.318–46.123,51.098,8.9%,1.02,Seq Scan (fallback),0.061,42.429
documents,200000,clean,default,64MB,array_group,roaring,10,4.397,4.314–4.494,4.519,2.1%,9.80,RoaringCount,0.086,4.486
documents,200000,clean,default,64MB,array_group,roaring_bitmap,10,6.715,6.584–6.971,7.522,5.7%,6.42,"Bitmap Heap Scan, Bitmap Index Scan",0.066,6.780
documents,200000,clean,default,64MB,array_group,seq,10,43.108,41.041–46.819,48.593,7.3%,1.00,Seq Scan,0.058,43.166
documents,200000,clean,default,64MB,array_is_null,gin,10,8.907,8.546–10.212,11.368,13.2%,1.02,Seq Scan (fallback),0.022,8.929
documents,200000,clean,default,64MB,array_is_null,gist,10,10.056,9.500–10.502,10.733,6.8%,0.90,Seq Scan (fallback),0.023,10.079
documents,200000,clean,default,64MB,array_is_null,roaring,10,1.126,1.073–1.297,1.352,10.3%,8.04,"Bitmap Heap Scan, Bitmap Index Scan",0.025,1.154
documents,200000,clean,default,64MB,array_is_null,roaring_bitmap,10,1.107,1.054–1.127,1.157,3.7%,8.18,"Bitmap Heap Scan, Bitmap Index Scan",0.025,1.131
documents,200000,clean,default,64MB,array_is_null,seq,10,9.055,8.680–9.759,10.342,7.3%,1.00,Seq Scan,0.018,9.073
documents,200000,clean,default,64MB,array_null_element,gin,10,0.043,0.042–0.043,0.043,2.0%,732.48,"Bitmap Heap Scan, Bitmap Index Scan",0.053,0.096
documents,200000,clean,default,64MB,array_null_element,gist,10,31.091,30.713–31.966,33.970,4.7%,1.01,Seq Scan (fallback),0.049,31.142
documents,200000,clean,default,64MB,array_null_element,roaring,10,54.957,54.283–57.287,61.955,5.8%,0.57,"Bitmap Heap Scan, Bitmap Index Scan",0.053,55.009
documents,200000,clean,default,64MB,array_null_element,roaring_bitmap,10,55.617,53.572–59.309,63.275,7.2%,0.57,"Bitmap Heap Scan, Bitmap Index Scan",0.050,55.667
documents,200000,clean,default,64MB,array_null_element,seq,10,31.497,30.483–33.684,35.171,6.4%,1.00,Seq Scan,0.046,31.543
documents,200000,clean,default,64MB,array_or,gin,10,6.415,6.357–6.543,6.785,2.8%,7.58,"Bitmap Heap Scan, Bitmap Index Scan",0.054,6.468
documents,200000,clean,default,64MB,array_or,gist,10,46.260,45.856–52.823,54.397,7.9%,1.05,Seq Scan (fallback),0.051,46.312
documents,200000,clean,default,64MB,array_or,roaring,10,0.227,0.220–0.246,0.259,7.5%,214.58,RoaringCount,0.076,0.308
documents,200000,clean,default,64MB,array_or,roaring_bitmap,10,5.242,5.075–5.433,5.607,4.5%,9.27,"Bitmap Heap Scan, Bitmap Index Scan",0.056,5.293
documents,200000,clean,default,64MB,array_or,seq,10,48.602,46.077–50.471,52.411,5.4%,1.00,Seq Scan,0.047,48.650
documents,200000,clean,default,64MB,array_rare,gin,10,0.074,0.073–0.076,0.089,10.8%,413.24,"Bitmap Heap Scan, Bitmap Index Scan",0.054,0.127
documents,200000,clean,default,64MB,array_rare,gist,10,30.792,29.980–32.333,33.191,4.2%,0.99,Seq Scan (fallback),0.051,30.844
documents,200000,clean,default,64MB,array_rare,roaring,10,0.015,0.013–0.016,0.016,9.6%,2038.63,RoaringCount,0.079,0.094
documents,200000,clean,default,64MB,array_rare,roaring_bitmap,10,0.076,0.073–0.081,0.084,5.9%,399.73,"Bitmap Heap Scan, Bitmap Index Scan",0.054,0.133
documents,200000,clean,default,64MB,array_rare,seq,10,30.580,29.529–34.462,37.830,10.3%,1.00,Seq Scan,0.046,30.625
documents,200000,clean,default,64MB,ts_and,gin,10,0.952,0.938–0.975,0.995,2.7%,25.57,"Bitmap Heap Scan, Bitmap Index Scan",0.046,0.998
documents,200000,clean,default,64MB,ts_and,gist,10,9.128,9.031–9.402,9.752,3.3%,2.67,"Bitmap Heap Scan, Bitmap Index Scan",0.043,9.174
documents,200000,clean,default,64MB,ts_and,roaring,10,0.102,0.100–0.104,0.125,12.3%,238.56,RoaringCount,0.064,0.165
documents,200000,clean,default,64MB,ts_and,roaring_bitmap,10,0.180,0.173–0.193,0.221,11.3%,135.19,"Bitmap Heap Scan, Bitmap Index Scan",0.049,0.237
documents,200000,clean,default,64MB,ts_and,seq,10,24.334,23.145–26.748,28.884,10.0%,1.00,Seq Scan,0.041,24.378
documents,200000,clean,default,64MB,ts_common,gin,10,28.312,27.511–29.596,32.859,7.6%,1.00,Seq Scan (fallback),0.044,28.362
documents,200000,clean,default,64MB,ts_common,gist,10,28.268,27.867–30.294,35.143,10.7%,1.00,Seq Scan (fallback),0.043,28.310
documents,200000,clean,default,64MB,ts_common,roaring,10,0.029,0.028–0.031,0.033,7.7%,991.23,RoaringCount,0.064,0.093
documents,200000,clean,default,64MB,ts_common,roaring_bitmap,10,28.060,27.227–29.512,32.891,9.0%,1.01,Seq Scan (fallback),0.046,28.104
documents,200000,clean,default,64MB,ts_common,seq,10,28.250,27.181–29.013,31.113,5.9%,1.00,Seq Scan,0.038,28.288
documents,200000,clean,default,64MB,ts_fetch,gin,10,4.029,3.998–4.123,4.242,2.4%,5.64,"Bitmap Heap Scan, Bitmap Index Scan",0.050,4.080
documents,200000,clean,default,64MB,ts_fetch,gist,10,13.389,12.581–14.627,16.635,11.3%,1.70,"Bitmap Heap Scan, Bitmap Index Scan",0.051,13.439
documents,200000,clean,default,64MB,ts_fetch,roaring,10,3.712,3.639–3.886,4.214,6.5%,6.13,"Bitmap Heap Scan, Bitmap Index Scan",0.050,3.761
documents,200000,clean,default,64MB,ts_fetch,roaring_bitmap,10,3.673,3.597–3.788,3.975,4.5%,6.19,"Bitmap Heap Scan, Bitmap Index Scan",0.048,3.720
documents,200000,clean,default,64MB,ts_fetch,seq,10,22.736,22.253–23.358,26.174,8.1%,1.00,Seq Scan,0.042,22.778
documents,200000,clean,default,64MB,ts_group,gin,10,0.980,0.953–1.013,1.040,3.8%,26.71,"Bitmap Heap Scan, Bitmap Index Scan",0.053,1.034
documents,200000,clean,default,64MB,ts_group,gist,10,9.140,9.047–9.282,9.735,3.5%,2.86,"Bitmap Heap Scan, Bitmap Index Scan",0.056,9.194
documents,200000,clean,default,64MB,ts_group,roaring,10,1.628,1.536–1.688,1.736,6.2%,16.08,RoaringCount,0.074,1.719
