Family,Cycle / state,Update ms,Update WAL MiB,Vacuum / reindex ms,Indexes MiB,Heap MiB
gin,0,0.000,0.000,0.000,5.492,4.531
gin,1,325.484,48.676,243.218,14.828,8.484
gin,2,291.673,48.659,240.913,20.305,8.484
gin,3,314.682,48.669,240.348,25.719,8.484
gin,4,292.861,48.662,245.218,31.102,8.484
gin,5,266.855,48.668,219.295,36.438,8.484
gin,after REINDEX,0.000,0.000,189.901,5.492,8.484
hash,0,0.000,0.000,0.000,9.938,4.531
hash,1,2415.925,34.398,45.810,16.469,8.484
hash,2,2356.577,33.788,49.612,16.523,8.484
hash,3,2359.129,33.795,50.559,16.523,8.484
hash,4,2284.689,33.790,49.888,16.523,8.484
hash,5,2310.017,33.796,52.761,16.523,8.484
hash,after REINDEX,0.000,0.000,699.442,9.938,8.484
gist,0,0.000,0.000,0.000,4.641,4.531
gist,1,995.862,57.211,37.146,15.688,8.484
gist,2,959.109,55.892,39.676,24.023,8.484
gist,3,905.009,57.191,37.830,28.461,8.484
gist,4,879.707,56.418,38.580,28.516,8.484
gist,5,901.879,56.759,47.568,28.594,8.484
gist,after REINDEX,0.000,0.000,116.775,4.641,8.484
brin,0,0.000,0.000,0.000,0.094,4.531
brin,1,171.867,18.497,49.434,0.094,8.484
brin,2,258.137,24.896,35.172,0.094,8.484
brin,3,252.698,24.588,34.106,0.094,8.484
brin,4,272.765,24.894,34.835,0.094,8.484
brin,5,268.384,24.589,34.279,0.094,8.484
brin,after REINDEX,0.000,0.000,19.265,0.094,8.484
seq,0,0.000,0.000,0.000,0.000,4.531
seq,1,117.979,18.044,26.401,0.000,8.484
seq,2,119.977,18.010,34.474,0.000,8.484
seq,3,123.168,18.020,31.031,0.000,8.484
seq,4,119.312,18.014,29.090,0.000,8.484
seq,5,109.573,18.020,28.821,0.000,8.484
seq,after REINDEX,0.000,0.000,0.171,0.000,8.484
btree,0,0.000,0.000,0.000,2.836,4.531
btree,1,354.519,30.666,36.688,5.625,8.484
btree,2,401.749,31.884,39.103,8.984,8.484
btree,3,356.119,31.104,45.155,9.266,8.484
btree,4,376.772,31.350,38.667,9.797,8.484
btree,5,346.357,31.135,41.186,9.797,8.484
btree,after REINDEX,0.000,0.000,56.338,2.836,8.484
roaring,0,0.000,0.000,0.000,7.594,4.531
roaring,1,867.497,58.117,1268.056,14.117,8.484
roaring,2,1031.950,62.699,1170.907,20.750,8.484
roaring,3,1039.293,67.882,974.159,24.617,8.484
roaring,4,1211.086,71.080,914.423,27.703,8.484
roaring,5,1228.464,75.810,1017.270,34.133,8.484
roaring,after REINDEX,0.000,0.000,391.522,7.672,8.484
