Family,Clients,Rows inserted,Transactions/s,Median ms,p95 ms,WAL MiB,Indexes MiB,Drain ms,Drain WAL MiB
gin,1,153900,512.9,1.717,2.646,34.305,2.969,25.057,0.370
gin,4,341400,1136.6,3.673,4.500,76.676,4.406,41.667,0.190
gin,8,468900,1561.7,5.005,8.061,105.303,4.547,46.447,0.234
hash,1,111300,370.6,2.610,3.783,17.683,6.875,19.206,0.031
hash,4,233000,774.9,4.910,8.088,34.686,10.484,26.869,0.009
hash,8,308300,1024.2,7.840,11.009,48.015,15.445,26.529,0.010
gist,1,146000,486.4,1.835,2.799,24.758,5.586,20.088,0.032
gist,4,346200,1153.4,3.635,4.090,58.718,13.234,30.149,0.009
gist,8,679000,2260.9,3.546,4.840,115.115,25.930,39.062,0.011
brin,1,149400,497.9,1.806,2.821,10.421,0.047,33.357,0.043
brin,4,355800,1184.7,3.552,3.941,24.801,0.047,59.549,0.026
brin,8,716700,2387.1,3.447,3.970,49.915,0.047,102.622,0.035
seq,1,171800,572.5,1.542,2.373,11.968,0.000,19.402,0.032
seq,4,363300,1210.3,3.381,3.888,25.317,0.000,30.139,0.010
seq,8,700300,2332.7,3.510,4.191,48.761,0.000,37.860,0.011
btree,1,152700,508.6,1.745,2.706,20.105,0.953,19.571,0.030
btree,4,358300,1193.1,3.612,3.860,48.625,3.750,30.266,0.007
btree,8,489400,1629.1,4.776,8.023,66.977,4.836,32.575,0.009
roaring,1,136500,454.8,1.983,2.915,43.256,0.695,19.772,0.029
roaring,4,219600,731.6,5.422,8.563,74.798,0.805,25.927,0.007
roaring,8,253900,844.8,9.400,13.476,94.212,0.852,26.962,0.008
