Profile,Variant,State,Query,n,Execution median ms,95% CI ms,p95 ms,Access,Lossy heap blocks (max),Planning median ms,Plan+execution median ms
churn,brin,cycle 1,dense,10,4.859,4.816–4.917,4.929,Seq Scan,0,0.026,4.886
churn,brin,cycle 1,obsolete,10,0.288,0.283–0.304,0.313,"Bitmap Heap Scan, Bitmap Index Scan",58,0.030,0.324
churn,brin,cycle 1,point,10,0.611,0.595–0.627,0.647,"Bitmap Heap Scan, Bitmap Index Scan",58,0.030,0.638
churn,brin,cycle 2,dense,10,4.907,4.802–4.993,5.212,Seq Scan,0,0.030,4.947
churn,brin,cycle 2,obsolete,10,2.997,2.953–3.100,3.208,"Bitmap Heap Scan, Bitmap Index Scan",314,0.031,3.026
churn,brin,cycle 2,point,10,3.002,2.953–3.093,3.117,"Bitmap Heap Scan, Bitmap Index Scan",314,0.030,3.044
churn,brin,cycle 3,dense,10,4.801,4.696–4.898,4.949,Seq Scan,0,0.029,4.830
churn,brin,cycle 3,obsolete,10,0.322,0.318–0.342,0.377,"Bitmap Heap Scan, Bitmap Index Scan",314,0.031,0.353
churn,brin,cycle 3,point,10,2.877,2.846–2.905,2.975,"Bitmap Heap Scan, Bitmap Index Scan",282,0.031,2.909
churn,brin,cycle 4,dense,10,4.815,4.753–4.928,5.173,Seq Scan,0,0.029,4.845
churn,brin,cycle 4,obsolete,10,2.928,2.890–3.001,3.055,"Bitmap Heap Scan, Bitmap Index Scan",314,0.031,2.959
churn,brin,cycle 4,point,10,2.889,2.857–2.998,3.090,"Bitmap Heap Scan, Bitmap Index Scan",314,0.032,2.921
churn,brin,cycle 5,dense,10,4.912,4.847–5.117,5.497,Seq Scan,0,0.029,4.939
churn,brin,cycle 5,obsolete,10,0.349,0.330–0.364,0.375,"Bitmap Heap Scan, Bitmap Index Scan",314,0.031,0.380
churn,brin,cycle 5,point,10,2.926,2.879–2.990,3.036,"Bitmap Heap Scan, Bitmap Index Scan",282,0.029,2.955
churn,btree,cycle 1,dense,10,2.915,2.888–2.995,3.082,Index Only Scan,0,0.026,2.942
churn,btree,cycle 1,obsolete,10,0.014,0.014–0.015,0.015,Index Only Scan,0,0.029,0.043
churn,btree,cycle 1,point,10,0.015,0.014–0.016,0.018,Index Only Scan,0,0.028,0.042
churn,btree,cycle 2,dense,10,2.938,2.918–2.972,3.368,Index Only Scan,0,0.027,2.965
churn,btree,cycle 2,obsolete,10,0.014,0.014–0.015,0.016,Index Only Scan,0,0.029,0.043
churn,btree,cycle 2,point,10,0.015,0.015–0.017,0.017,Index Only Scan,0,0.029,0.044
churn,btree,cycle 3,dense,10,3.060,2.974–3.107,3.147,Index Only Scan,0,0.026,3.088
churn,btree,cycle 3,obsolete,10,0.014,0.014–0.014,0.016,Index Only Scan,0,0.028,0.042
