version,sequence,case,execution_ms,initial_heap_pages,initial_all_visible,timed_vm_blocks_skipped,timed_heap_blocks_rechecked,timed_heap_tids_rechecked
16,525,eq_c2_0,74.185,96192,46154,46154,50000,1299485
16,526,group_c200,278.565,96192,46154,2118616,111685,2599992
16,527,group_c200,272.139,96192,46154,2118616,111685,2599992
16,530,eq_c2_0,74.04,96192,46154,46154,50000,1299485
16,531,group_c200,273.585,96192,46154,2118616,111685,2599992
16,532,eq_c2_0,77.357,96192,46154,46154,50000,1299485
17,525,eq_c2_0,73.459,96192,46154,46154,50000,1299485
17,526,group_c200,283.886,96192,46154,2118616,111685,2599992
17,527,group_c200,286.412,96192,46154,2118616,111685,2599992
17,530,eq_c2_0,75.838,96192,46154,46154,50000,1299485
17,531,group_c200,281.621,96192,46154,2118616,111685,2599992
17,532,eq_c2_0,78.541,96192,46154,46154,50000,1299485
18,525,eq_c2_0,79.136,96192,46154,46154,50000,1299485
18,526,group_c200,282.807,96192,46154,2118616,111685,2599992
18,527,group_c200,285.802,96192,46154,2118616,111685,2599992
18,530,eq_c2_0,79.665,96192,46154,46154,50000,1299485
18,531,group_c200,284.422,96192,46154,2118616,111685,2599992
18,532,eq_c2_0,80.888,96192,46154,46154,50000,1299485
19,525,eq_c2_0,1.952,96192,46154,96153,1,18
19,526,group_c200,16.749,96192,46154,4413065,2,44
19,527,group_c200,17.074,96192,46154,4413065,2,44
19,530,eq_c2_0,1.953,96192,46154,96153,1,18
19,531,group_c200,16.702,96192,46154,4413065,2,44
19,532,eq_c2_0,1.923,96192,46154,96153,1,18
20,525,eq_c2_0,2.121,96192,46154,96153,1,18
20,526,group_c200,17.076,96192,46154,4413065,2,44
20,527,group_c200,17.441,96192,46154,4413065,2,44
20,530,eq_c2_0,2.038,96192,46154,96153,1,18
20,531,group_c200,16.733,96192,46154,4413065,2,44
20,532,eq_c2_0,2.077,96192,46154,96153,1,18
