Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
documents,200000,gin,ix_tags,2.070,106.681,106.681–106.681,1.350,1,built
documents,200000,gin,ix_tsv,4.305,197.172,197.172–197.172,2.675,1,built
documents,200000,roaring,ix_tags,2.789,537.209,537.209–537.209,2.213,1,built
documents,200000,roaring,ix_tsv,4.883,1194.952,1194.952–1194.952,4.074,1,built
scalar,1000000,btree,ix_c1m,18.812,260.165,260.165–260.165,17.055,1,built
scalar,1000000,btree,ix_c2,6.633,242.931,242.931–242.931,6.027,1,built
scalar,1000000,btree,ix_c20,6.641,253.602,253.602–253.602,6.043,1,built
scalar,1000000,btree,ix_c200,6.719,248.536,248.536–248.536,6.046,1,built
scalar,1000000,btree,ix_c20k,6.805,223.880,223.880–223.880,6.325,1,built
scalar,1000000,btree,ix_nullable,6.719,238.730,238.730–238.730,6.031,1,built
scalar,1000000,btree,ix_skew,6.656,223.869,223.869–223.869,6.034,1,built
scalar,1000000,gin,ix_c1m,38.195,1172.121,1172.121–1172.121,19.483,1,built
scalar,1000000,gin,ix_c2,1.094,87.373,87.373–87.373,1.136,1,built
scalar,1000000,gin,ix_c20,1.578,103.649,103.649–103.649,1.417,1,built
scalar,1000000,gin,ix_c200,4.703,148.075,148.075–148.075,2.066,1,built
scalar,1000000,gin,ix_c20k,6.734,229.626,229.626–229.626,3.583,1,built
scalar,1000000,gin,ix_nullable,4.836,138.695,138.695–138.695,2.025,1,built
scalar,1000000,gin,ix_skew,1.539,120.168,120.168–120.168,1.299,1,built
scalar,1000000,roaring,ix_c1m,44.266,907.268,907.268–907.268,39.881,1,built
scalar,1000000,roaring,ix_c2,2.391,577.513,577.513–577.513,2.036,1,built
scalar,1000000,roaring,ix_c20,2.359,677.848,677.848–677.848,2.097,1,built
scalar,1000000,roaring,ix_c200,4.719,672.174,672.174–672.174,2.904,1,built
scalar,1000000,roaring,ix_c20k,7.898,610.175,610.175–610.175,7.018,1,built
scalar,1000000,roaring,ix_nullable,4.938,646.617,646.617–646.617,2.915,1,built
scalar,1000000,roaring,ix_skew,1.227,564.287,564.287–564.287,1.129,1,built
scalar,5000000,btree,ix_c1m,56.258,1272.562,1272.562–1272.562,51.025,1,built
scalar,5000000,btree,ix_c2,33.062,1257.568,1257.568–1257.568,29.932,1,built
scalar,5000000,btree,ix_c20,33.070,1355.366,1355.366–1355.366,29.933,1,built
scalar,5000000,btree,ix_c200,33.148,1363.866,1363.866–1363.866,29.929,1,built
scalar,5000000,btree,ix_c20k,34.383,1266.156,1266.156–1266.156,30.078,1,built
scalar,5000000,btree,ix_nullable,33.148,1345.341,1345.341–1345.341,29.932,1,built
scalar,5000000,btree,ix_skew,33.219,1096.997,1096.997–1096.997,29.938,1,built
scalar,5000000,gin,ix_c1m,87.367,3832.534,3832.534–3832.534,44.603,1,built
scalar,5000000,gin,ix_c2,5.297,446.316,446.316–446.316,5.223,1,built
scalar,5000000,gin,ix_c20,7.055,515.028,515.028–515.028,6.802,1,built
scalar,5000000,gin,ix_c200,12.516,601.488,601.488–601.488,10.009,1,built
scalar,5000000,gin,ix_c20k,26.281,1037.318,1037.318–1037.318,15.408,1,built
scalar,5000000,gin,ix_nullable,11.562,609.794,609.794–609.794,9.779,1,built
scalar,5000000,gin,ix_skew,6.883,579.681,579.681–579.681,6.097,1,built
scalar,5000000,roaring,ix_c1m,92.164,3709.082,3709.082–3709.082,82.836,1,built
scalar,5000000,roaring,ix_c2,11.797,3263.079,3263.079–3263.079,9.782,1,built
scalar,5000000,roaring,ix_c20,10.484,4189.729,4189.729–4189.729,10.179,1,built
scalar,5000000,roaring,ix_c200,15.742,3920.749,3920.749–3920.749,14.119,1,built
scalar,5000000,roaring,ix_c20k,39.289,3489.149,3489.149–3489.149,30.585,1,built
scalar,5000000,roaring,ix_nullable,16.695,4290.804,4290.804–4290.804,14.153,1,built
scalar,5000000,roaring,ix_skew,6.312,2860.594,2860.594–2860.594,5.139,1,built
