Rows,Family,Operation,Elapsed attempt ms,WAL MiB,Indexes MiB after,Status
1000000,btree,insert,191.169,32.628,59.383,ok
1000000,btree,indexed_update,260.632,36.890,59.750,ok
1000000,btree,delete,132.473,73.227,59.750,ok
1000000,btree,vacuum,349.815,133.803,59.750,ok
1000000,gin,insert,71.510,12.297,60.055,ok
1000000,gin,indexed_update,123.663,15.625,61.430,ok
1000000,gin,delete,132.986,73.227,61.430,ok
1000000,gin,vacuum,488.205,141.278,61.664,ok
1000000,roaring,insert,226.343,51.022,67.820,ok
1000000,roaring,indexed_update,306.252,59.910,69.102,ok
1000000,roaring,delete,136.833,73.227,69.102,ok
1000000,roaring,vacuum,430.954,137.661,69.102,ok
5000000,roaring,insert,1228.038,176.908,193.938,ok
5000000,roaring,indexed_update,1675.556,209.364,198.266,ok
5000000,roaring,delete,1139.840,366.125,198.266,ok
5000000,roaring,vacuum,3750.751,569.333,198.266,ok
5000000,btree,insert,983.215,119.585,260.078,ok
5000000,btree,indexed_update,2532.970,138.527,263.102,ok
5000000,btree,delete,1871.589,366.125,263.102,ok
5000000,btree,vacuum,3439.462,634.381,263.102,ok
5000000,gin,insert,344.650,61.368,163.727,ok
5000000,gin,indexed_update,756.424,77.887,170.492,ok
5000000,gin,delete,1007.495,366.125,170.492,ok
5000000,gin,vacuum,3554.401,587.328,172.297,ok
