2026-09-24 15:25:48.020 PDT [1877460] LOG:  registered custom resource manager "pg_lion" with ID 128
2026-09-24 15:25:48.049 PDT [1877460] LOG:  starting PostgreSQL 18.6 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit
2026-09-24 15:25:48.052 PDT [1877460] LOG:  listening on Unix socket "/tmp/lion-comparison-imhuc2v3/socket/.s.PGSQL.55449"
2026-09-24 15:25:48.063 PDT [1877466] LOG:  database system was shut down at 2026-09-24 15:25:47 PDT
2026-09-24 15:25:48.067 PDT [1877460] LOG:  database system is ready to accept connections
2026-09-24 15:25:52.314 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:25:52.518 PDT [1877464] LOG:  checkpoint complete: wrote 2214 buffers (3.4%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 10 recycled; write=0.038 s, sync=0.112 s, total=0.205 s; sync files=77, longest=0.059 s, average=0.002 s; distance=163758 kB, estimate=163758 kB; lsn=0/B6DB048, redo lsn=0/B6DAFF0
2026-09-24 15:25:52.763 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:25:52.799 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.037 s; sync files=15, longest=0.006 s, average=0.002 s; distance=6171 kB, estimate=148000 kB; lsn=0/BCE1DA8, redo lsn=0/BCE1D50
2026-09-24 15:25:53.054 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:25:53.096 PDT [1877464] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.019 s, total=0.042 s; sync files=17, longest=0.007 s, average=0.002 s; distance=6188 kB, estimate=133818 kB; lsn=0/C2ECDB8, redo lsn=0/C2ECD60
2026-09-24 15:25:53.345 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:25:53.385 PDT [1877464] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.019 s, total=0.040 s; sync files=17, longest=0.006 s, average=0.002 s; distance=6191 kB, estimate=121056 kB; lsn=0/C8F8C38, redo lsn=0/C8F8BE0
2026-09-24 15:25:53.610 PDT [1877464] LOG:  checkpoint starting: immediate force wait
