Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
documents,200000,clean,default,64MB,array_and,gin,3,0.820,0.820–1.161,1.127,21.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.060,0.880
documents,200000,clean,default,64MB,array_and,roaring,3,0.125,0.117–0.127,0.127,4.3%,—,LionCount,0.082,0.209
documents,200000,clean,default,64MB,array_and,roaring_bitmap,3,0.210,0.179–0.213,0.213,9.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,0.264
documents,200000,clean,default,64MB,array_common,gin,3,4.045,3.694–4.138,4.129,5.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,4.098
documents,200000,clean,default,64MB,array_common,roaring,3,0.024,0.024–0.026,0.026,4.7%,—,LionCount,0.081,0.106
documents,200000,clean,default,64MB,array_common,roaring_bitmap,3,3.549,3.471–3.657,3.646,2.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.054,3.616
documents,200000,clean,default,64MB,array_or,gin,3,6.449,6.272–6.909,6.863,5.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,6.501
documents,200000,clean,default,64MB,array_or,roaring,3,0.227,0.224–0.251,0.249,6.3%,—,LionCount,0.092,0.321
documents,200000,clean,default,64MB,array_or,roaring_bitmap,3,5.800,5.266–6.257,6.211,8.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,5.856
documents,200000,clean,default,64MB,ts_and,gin,3,0.952,0.952–0.985,0.982,2.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.043,0.997
documents,200000,clean,default,64MB,ts_and,roaring,3,0.118,0.111–0.119,0.119,3.8%,—,LionCount,0.069,0.187
documents,200000,clean,default,64MB,ts_and,roaring_bitmap,3,0.213,0.194–0.218,0.217,6.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,0.269
documents,200000,clean,default,64MB,ts_common,gin,3,29.435,28.352–29.485,29.480,2.2%,—,Seq Scan (fallback),0.042,29.483
documents,200000,clean,default,64MB,ts_common,roaring,3,0.031,0.031–0.038,0.037,12.1%,—,LionCount,0.066,0.097
documents,200000,clean,default,64MB,ts_common,roaring_bitmap,3,32.064,31.275–32.164,32.154,1.5%,—,Seq Scan (fallback),0.045,32.109
documents,200000,clean,default,64MB,ts_fetch,gin,3,4.179,4.125–4.703,4.651,7.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,4.226
documents,200000,clean,default,64MB,ts_fetch,roaring,3,4.325,4.063–6.007,5.839,22.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,4.377
documents,200000,clean,default,64MB,ts_fetch,roaring_bitmap,3,4.098,3.889–4.739,4.675,10.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.050,4.154
documents,200000,clean,default,64MB,ts_phrase,gin,3,6.997,6.621–7.295,7.265,4.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.044,7.041
