Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
scalar,5000000,btree,ix_c1m,56.258,1347.472,1347.472–1347.472,51.015,1,built
scalar,5000000,btree,ix_c2,33.062,1211.548,1211.548–1211.548,29.918,1,built
scalar,5000000,btree,ix_c20,33.070,1357.434,1357.434–1357.434,29.934,1,built
scalar,5000000,btree,ix_c200,33.148,1385.004,1385.004–1385.004,29.938,1,built
scalar,5000000,btree,ix_c20k,34.383,1208.097,1208.097–1208.097,30.084,1,built
scalar,5000000,btree,ix_nullable,33.148,1344.879,1344.879–1344.879,29.923,1,built
scalar,5000000,btree,ix_skew,33.219,1116.233,1116.233–1116.233,29.928,1,built
scalar,5000000,gin,ix_c1m,87.367,3501.304,3501.304–3501.304,44.596,1,built
scalar,5000000,gin,ix_c2,5.297,435.261,435.261–435.261,5.253,1,built
scalar,5000000,gin,ix_c20,7.055,518.594,518.594–518.594,6.795,1,built
scalar,5000000,gin,ix_c200,12.516,631.355,631.355–631.355,10.002,1,built
scalar,5000000,gin,ix_c20k,26.281,1056.069,1056.069–1056.069,15.402,1,built
scalar,5000000,gin,ix_nullable,11.562,611.875,611.875–611.875,9.772,1,built
scalar,5000000,gin,ix_skew,6.883,583.441,583.441–583.441,6.090,1,built
scalar,5000000,roaring,ix_c1m,92.164,3541.654,3541.654–3541.654,82.833,1,built
scalar,5000000,roaring,ix_c2,11.797,3312.439,3312.439–3312.439,9.801,1,built
scalar,5000000,roaring,ix_c20,10.484,4257.708,4257.708–4257.708,10.176,1,built
scalar,5000000,roaring,ix_c200,15.742,3967.673,3967.673–3967.673,14.116,1,built
scalar,5000000,roaring,ix_c20k,39.289,3444.050,3444.050–3444.050,30.582,1,built
scalar,5000000,roaring,ix_nullable,16.695,4217.179,4217.179–4217.179,14.152,1,built
scalar,5000000,roaring,ix_skew,6.312,2921.409,2921.409–2921.409,5.139,1,built
