Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
scalar,5000000,clean,default,64MB,and2,btree,7,18.658,16.726–66.343,155.991,123.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.048,18.704
scalar,5000000,clean,default,64MB,and2,gin,7,253.008,235.873–261.995,268.393,5.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.076,253.053
scalar,5000000,clean,default,64MB,and2,roaring,7,1.775,1.702–4.137,4.189,48.8%,—,LionCount,0.050,1.824
scalar,5000000,clean,default,64MB,and2,roaring_bitmap,7,104.970,64.581–132.684,155.166,39.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,105.038
scalar,5000000,clean,default,64MB,and3_selective,btree,7,1.603,1.563–1.682,1.727,4.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,1.650
scalar,5000000,clean,default,64MB,and3_selective,gin,7,2.794,2.743–2.894,2.906,4.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.072,2.903
scalar,5000000,clean,default,64MB,and3_selective,roaring,7,1.594,1.487–1.619,1.669,5.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.056,1.651
scalar,5000000,clean,default,64MB,and3_selective,roaring_bitmap,7,1.609,1.511–1.727,1.861,9.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.048,1.656
scalar,5000000,clean,default,64MB,eq_c1m_12345,btree,7,0.032,0.020–0.035,0.037,28.0%,—,Index Only Scan,0.037,0.065
scalar,5000000,clean,default,64MB,eq_c1m_12345,gin,7,0.386,0.319–0.397,0.417,39.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.062,0.431
scalar,5000000,clean,default,64MB,eq_c1m_12345,roaring,7,0.014,0.013–0.021,0.022,26.0%,—,LionCount,0.048,0.062
scalar,5000000,clean,default,64MB,eq_c1m_12345,roaring_bitmap,7,0.135,0.047–0.379,0.626,99.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.034,0.168
scalar,5000000,clean,default,64MB,eq_c200_17,btree,7,1.593,1.561–1.645,1.679,3.0%,—,Index Only Scan,0.040,1.644
scalar,5000000,clean,default,64MB,eq_c200_17,gin,7,143.934,17.760–169.248,177.344,77.7%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,143.996
scalar,5000000,clean,default,64MB,eq_c200_17,roaring,7,0.098,0.096–0.098,0.128,16.0%,—,LionCount,0.040,0.138
scalar,5000000,clean,default,64MB,eq_c200_17,roaring_bitmap,7,120.365,15.969–169.799,179.360,81.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,120.401
scalar,5000000,clean,default,64MB,eq_c20k_123,btree,7,0.036,0.032–0.040,0.047,17.2%,—,Index Only Scan,0.035,0.069
