Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
documents,200000,gin,ix_tags,2.070,106.763,106.763–106.763,1.350,1,built
documents,200000,gin,ix_tsv,4.305,204.515,204.515–204.515,2.675,1,built
documents,200000,roaring,ix_tags,2.789,562.988,562.988–562.988,2.213,1,built
documents,200000,roaring,ix_tsv,4.883,1119.624,1119.624–1119.624,4.074,1,built
scalar,1000000,btree,ix_c1m,18.812,276.487,276.487–276.487,17.055,1,built
scalar,1000000,btree,ix_c2,6.633,251.353,251.353–251.353,6.027,1,built
scalar,1000000,btree,ix_c20,6.641,258.348,258.348–258.348,6.043,1,built
scalar,1000000,btree,ix_c200,6.719,245.099,245.099–245.099,6.046,1,built
scalar,1000000,btree,ix_c20k,6.805,241.617,241.617–241.617,6.325,1,built
scalar,1000000,btree,ix_nullable,6.719,253.233,253.233–253.233,6.031,1,built
scalar,1000000,btree,ix_skew,6.656,228.615,228.615–228.615,6.034,1,built
scalar,1000000,gin,ix_c1m,38.195,1203.617,1203.617–1203.617,19.483,1,built
scalar,1000000,gin,ix_c2,1.094,92.825,92.825–92.825,1.136,1,built
scalar,1000000,gin,ix_c20,1.578,119.138,119.138–119.138,1.417,1,built
scalar,1000000,gin,ix_c200,4.703,136.025,136.025–136.025,2.066,1,built
scalar,1000000,gin,ix_c20k,6.734,248.833,248.833–248.833,3.583,1,built
scalar,1000000,gin,ix_nullable,4.836,131.821,131.821–131.821,2.025,1,built
scalar,1000000,gin,ix_skew,1.539,116.369,116.369–116.369,1.299,1,built
scalar,1000000,roaring,ix_c1m,44.266,920.397,920.397–920.397,39.881,1,built
scalar,1000000,roaring,ix_c2,2.391,615.278,615.278–615.278,2.036,1,built
scalar,1000000,roaring,ix_c20,2.359,713.538,713.538–713.538,2.097,1,built
scalar,1000000,roaring,ix_c200,4.719,689.969,689.969–689.969,2.904,1,built
scalar,1000000,roaring,ix_c20k,7.898,630.058,630.058–630.058,7.018,1,built
scalar,1000000,roaring,ix_nullable,4.938,706.689,706.689–706.689,2.915,1,built
scalar,1000000,roaring,ix_skew,1.227,566.858,566.858–566.858,1.129,1,built
scalar,5000000,btree,ix_c1m,56.258,1320.779,1320.779–1320.779,51.025,1,built
scalar,5000000,btree,ix_c2,33.062,1340.265,1340.265–1340.265,29.932,1,built
scalar,5000000,btree,ix_c20,33.070,1387.994,1387.994–1387.994,29.933,1,built
scalar,5000000,btree,ix_c200,33.148,1324.303,1324.303–1324.303,29.929,1,built
scalar,5000000,btree,ix_c20k,34.383,1295.433,1295.433–1295.433,30.078,1,built
scalar,5000000,btree,ix_nullable,33.148,1343.894,1343.894–1343.894,29.932,1,built
scalar,5000000,btree,ix_skew,33.219,1159.729,1159.729–1159.729,29.938,1,built
scalar,5000000,gin,ix_c1m,87.367,3851.238,3851.238–3851.238,44.603,1,built
scalar,5000000,gin,ix_c2,5.297,429.371,429.371–429.371,5.223,1,built
scalar,5000000,gin,ix_c20,7.055,532.896,532.896–532.896,6.802,1,built
scalar,5000000,gin,ix_c200,12.516,619.016,619.016–619.016,10.009,1,built
scalar,5000000,gin,ix_c20k,26.281,1041.454,1041.454–1041.454,15.408,1,built
scalar,5000000,gin,ix_nullable,11.562,616.928,616.928–616.928,9.779,1,built
scalar,5000000,gin,ix_skew,6.883,568.092,568.092–568.092,6.097,1,built
scalar,5000000,roaring,ix_c1m,92.164,3710.936,3710.936–3710.936,82.836,1,built
scalar,5000000,roaring,ix_c2,11.797,3337.292,3337.292–3337.292,9.782,1,built
scalar,5000000,roaring,ix_c20,10.484,4273.386,4273.386–4273.386,10.179,1,built
scalar,5000000,roaring,ix_c200,15.742,3989.443,3989.443–3989.443,14.119,1,built
scalar,5000000,roaring,ix_c20k,39.289,3567.882,3567.882–3567.882,30.585,1,built
scalar,5000000,roaring,ix_nullable,16.695,4194.921,4194.921–4194.921,14.153,1,built
scalar,5000000,roaring,ix_skew,6.312,2867.616,2867.616–2867.616,5.139,1,built
