Rows,Family,Operation,Elapsed attempt ms,WAL MiB,Indexes MiB after,Status
1000000,btree,insert,208.673,32.628,59.383,ok
1000000,btree,indexed_update,249.340,36.890,59.750,ok
1000000,btree,delete,143.283,73.227,59.750,ok
1000000,btree,vacuum,378.551,133.803,59.750,ok
1000000,gin,insert,77.235,12.297,60.055,ok
1000000,gin,indexed_update,130.316,15.618,61.430,ok
1000000,gin,delete,141.488,73.227,61.430,ok
1000000,gin,vacuum,488.904,141.277,61.734,ok
1000000,roaring,insert,284.070,51.022,67.820,ok
1000000,roaring,indexed_update,300.241,59.913,69.102,ok
1000000,roaring,delete,211.942,73.227,69.102,ok
1000000,roaring,vacuum,633.523,137.662,69.102,ok
5000000,roaring,insert,1221.611,176.908,193.938,ok
5000000,roaring,indexed_update,1657.629,209.367,198.266,ok
5000000,roaring,delete,1249.019,366.125,198.266,ok
5000000,roaring,vacuum,3691.953,569.326,198.266,ok
5000000,btree,insert,883.032,119.585,260.078,ok
5000000,btree,indexed_update,2563.281,138.523,263.102,ok
5000000,btree,delete,2026.765,366.125,263.102,ok
5000000,btree,vacuum,3420.142,634.377,263.102,ok
5000000,gin,insert,417.736,61.368,163.727,ok
5000000,gin,indexed_update,936.946,77.891,170.492,ok
5000000,gin,delete,1385.588,366.125,170.492,ok
5000000,gin,vacuum,4098.637,587.328,172.297,ok
