2026-09-24 19:01:29.047 PDT [1899912] LOG:  registered custom resource manager "pg_lion" with ID 128
2026-09-24 19:01:29.077 PDT [1899912] LOG:  starting PostgreSQL 18.6 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit
2026-09-24 19:01:29.081 PDT [1899912] LOG:  listening on Unix socket "/tmp/lion-comparison-es05w5kp/socket/.s.PGSQL.55449"
2026-09-24 19:01:29.091 PDT [1899918] LOG:  database system was shut down at 2026-09-24 19:01:28 PDT
2026-09-24 19:01:29.096 PDT [1899912] LOG:  database system is ready to accept connections
2026-09-24 19:01:31.806 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:32.016 PDT [1899916] LOG:  checkpoint complete: wrote 2214 buffers (3.4%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 10 recycled; write=0.047 s, sync=0.106 s, total=0.210 s; sync files=77, longest=0.052 s, average=0.002 s; distance=163758 kB, estimate=163758 kB; lsn=0/B6DAFE8, redo lsn=0/B6DAF90
2026-09-24 19:01:32.268 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:32.309 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.020 s, total=0.041 s; sync files=15, longest=0.009 s, average=0.002 s; distance=6171 kB, estimate=148000 kB; lsn=0/BCE1D48, redo lsn=0/BCE1CF0
2026-09-24 19:01:32.568 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:32.615 PDT [1899916] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.023 s, total=0.048 s; sync files=17, longest=0.009 s, average=0.002 s; distance=6188 kB, estimate=133818 kB; lsn=0/C2ECD58, redo lsn=0/C2ECD00
2026-09-24 19:01:32.861 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:32.903 PDT [1899916] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.023 s, total=0.043 s; sync files=17, longest=0.009 s, average=0.002 s; distance=6191 kB, estimate=121056 kB; lsn=0/C8F8BD8, redo lsn=0/C8F8B80
2026-09-24 19:01:33.146 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:33.189 PDT [1899916] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.023 s, total=0.044 s; sync files=17, longest=0.009 s, average=0.002 s; distance=6477 kB, estimate=109598 kB; lsn=0/CF4C168, redo lsn=0/CF4C110
2026-09-24 19:01:33.466 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:33.520 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.025 s, total=0.054 s; sync files=15, longest=0.012 s, average=0.002 s; distance=17464 kB, estimate=100384 kB; lsn=0/E05A430, redo lsn=0/E05A3D8
2026-09-24 19:01:33.749 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:33.791 PDT [1899916] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.021 s, total=0.042 s; sync files=15, longest=0.009 s, average=0.002 s; distance=6178 kB, estimate=90964 kB; lsn=0/E662F28, redo lsn=0/E662ED0
2026-09-24 19:01:41.576 PDT [1899916] LOG:  checkpoint starting: immediate force wait
2026-09-24 19:01:41.791 PDT [1899916] LOG:  checkpoint complete: wrote 10031 buffers (15.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 5 recycled; write=0.143 s, sync=0.036 s, total=0.215 s; sync files=26, longest=0.009 s, average=0.002 s; distance=80579 kB, estimate=89925 kB; lsn=0/13513C18, redo lsn=0/13513BC0
2026-09-24 19:01:42.001 PDT [1899916] LOG:  checkpoint starting: immediate force wait
