Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
documents,200000,clean,default,64MB,array_and,gin,3,0.881,0.846–0.915,0.912,3.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,0.936
documents,200000,clean,default,64MB,array_and,roaring,3,0.126,0.119–0.127,0.127,3.5%,—,LionCount,0.073,0.196
documents,200000,clean,default,64MB,array_and,roaring_bitmap,3,0.205,0.194–0.226,0.224,7.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,0.260
documents,200000,clean,default,64MB,array_common,gin,3,3.963,3.915–4.164,4.144,3.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,4.014
documents,200000,clean,default,64MB,array_common,roaring,3,0.024,0.024–0.025,0.025,2.4%,—,LionCount,0.079,0.103
documents,200000,clean,default,64MB,array_common,roaring_bitmap,3,3.399,3.374–3.426,3.423,0.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.053,3.451
documents,200000,clean,default,64MB,array_or,gin,3,6.635,6.622–7.016,6.978,3.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,6.688
documents,200000,clean,default,64MB,array_or,roaring,3,0.224,0.222–0.247,0.245,6.0%,—,LionCount,0.079,0.326
documents,200000,clean,default,64MB,array_or,roaring_bitmap,3,5.377,5.225–5.871,5.822,6.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,5.436
documents,200000,clean,default,64MB,ts_and,gin,3,0.977,0.956–0.984,0.983,1.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,1.024
documents,200000,clean,default,64MB,ts_and,roaring,3,0.128,0.128–0.143,0.141,6.5%,—,LionCount,0.069,0.207
documents,200000,clean,default,64MB,ts_and,roaring_bitmap,3,0.202,0.180–0.240,0.236,14.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,0.249
documents,200000,clean,default,64MB,ts_common,gin,3,30.020,29.865–30.427,30.386,1.0%,—,Seq Scan (fallback),0.045,30.067
documents,200000,clean,default,64MB,ts_common,roaring,3,0.032,0.032–0.038,0.037,10.2%,—,LionCount,0.072,0.104
documents,200000,clean,default,64MB,ts_common,roaring_bitmap,3,29.006,28.612–30.003,29.903,2.5%,—,Seq Scan (fallback),0.046,29.052
documents,200000,clean,default,64MB,ts_fetch,gin,3,4.436,4.431–4.518,4.510,1.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,4.488
documents,200000,clean,default,64MB,ts_fetch,roaring,3,3.839,3.782–3.943,3.933,2.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,3.888
documents,200000,clean,default,64MB,ts_fetch,roaring_bitmap,3,3.876,3.807–4.120,4.096,4.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,3.926
documents,200000,clean,default,64MB,ts_phrase,gin,3,7.077,7.067–7.182,7.171,0.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.046,7.123
documents,200000,clean,default,64MB,ts_phrase,roaring,3,31.338,30.671–32.412,32.305,2.8%,—,Seq Scan (fallback),0.066,31.405
documents,200000,clean,default,64MB,ts_phrase,roaring_bitmap,3,31.665,31.245–31.870,31.849,1.0%,—,Seq Scan (fallback),0.047,31.711
documents,200000,clean,default,64MB,ts_prefix,gin,3,1.606,1.560–2.193,2.134,19.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.048,1.654
documents,200000,clean,default,64MB,ts_prefix,roaring,3,24.039,23.671–24.615,24.557,2.0%,—,Seq Scan (fallback),0.049,24.088
documents,200000,clean,default,64MB,ts_prefix,roaring_bitmap,3,24.249,23.799–25.570,25.438,3.8%,—,Seq Scan (fallback),0.047,24.296
documents,200000,clean,default,64MB,ts_rare,gin,3,0.034,0.034–0.038,0.038,6.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.046,0.080
documents,200000,clean,default,64MB,ts_rare,roaring,3,0.014,0.013–0.014,0.014,4.2%,—,LionCount,0.070,0.084
documents,200000,clean,default,64MB,ts_rare,roaring_bitmap,3,0.038,0.038–0.039,0.039,1.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.047,0.085
