Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
documents,200000,gin,ix_tags,2.070,103.481,103.481–103.481,1.357,1,built
documents,200000,gin,ix_tsv,4.305,224.151,224.151–224.151,2.682,1,built
documents,200000,roaring,ix_tags,2.789,519.033,519.033–519.033,2.227,1,built
documents,200000,roaring,ix_tsv,4.883,1033.759,1033.759–1033.759,4.083,1,built
scalar,1000000,btree,ix_c1m,18.812,253.476,253.476–253.476,17.071,1,built
scalar,1000000,btree,ix_c2,6.633,226.309,226.309–226.309,6.041,1,built
scalar,1000000,btree,ix_c20,6.641,246.610,246.610–246.610,6.040,1,built
scalar,1000000,btree,ix_c200,6.719,240.331,240.331–240.331,6.044,1,built
scalar,1000000,btree,ix_c20k,6.805,222.792,222.792–222.792,6.325,1,built
scalar,1000000,btree,ix_nullable,6.719,241.788,241.788–241.788,6.047,1,built
scalar,1000000,btree,ix_skew,6.656,225.267,225.267–225.267,6.049,1,built
scalar,1000000,gin,ix_c1m,38.195,1275.045,1275.045–1275.045,19.483,1,built
scalar,1000000,gin,ix_c2,1.094,93.361,93.361–93.361,1.137,1,built
scalar,1000000,gin,ix_c20,1.578,104.571,104.571–104.571,1.418,1,built
scalar,1000000,gin,ix_c200,4.703,138.434,138.434–138.434,2.067,1,built
scalar,1000000,gin,ix_c20k,6.734,240.119,240.119–240.119,3.584,1,built
scalar,1000000,gin,ix_nullable,4.836,143.517,143.517–143.517,2.026,1,built
scalar,1000000,gin,ix_skew,1.539,135.766,135.766–135.766,1.301,1,built
scalar,1000000,roaring,ix_c1m,44.266,873.721,873.721–873.721,39.881,1,built
scalar,1000000,roaring,ix_c2,2.391,562.805,562.805–562.805,2.017,1,built
scalar,1000000,roaring,ix_c20,2.359,678.753,678.753–678.753,2.100,1,built
scalar,1000000,roaring,ix_c200,4.719,693.712,693.712–693.712,2.908,1,built
scalar,1000000,roaring,ix_c20k,7.898,595.328,595.328–595.328,7.022,1,built
scalar,1000000,roaring,ix_nullable,4.938,696.930,696.930–696.930,2.915,1,built
scalar,1000000,roaring,ix_skew,1.227,552.013,552.013–552.013,1.129,1,built
scalar,1000000,roaring_btree,ix_c1m,44.266,816.720,816.720–816.720,39.866,1,built
scalar,1000000,roaring_btree,ix_c1m_btree,18.812,267.273,267.273–267.273,17.058,1,built
scalar,1000000,roaring_btree,ix_c2,2.391,568.679,568.679–568.679,2.031,1,built
scalar,1000000,roaring_btree,ix_c20,2.359,633.132,633.132–633.132,2.101,1,built
scalar,1000000,roaring_btree,ix_c200,4.719,652.022,652.022–652.022,2.908,1,built
scalar,1000000,roaring_btree,ix_c20k,7.898,580.997,580.997–580.997,7.019,1,built
scalar,1000000,roaring_btree,ix_nullable,4.938,657.045,657.045–657.045,2.900,1,built
scalar,1000000,roaring_btree,ix_skew,1.227,538.971,538.971–538.971,1.114,1,built
scalar,5000000,btree,ix_c1m,56.258,1266.012,1266.012–1266.012,51.020,1,built
scalar,5000000,btree,ix_c2,33.062,1184.233,1184.233–1184.233,29.927,1,built
scalar,5000000,btree,ix_c20,33.070,1379.475,1379.475–1379.475,29.921,1,built
scalar,5000000,btree,ix_c200,33.148,1324.528,1324.528–1324.528,29.924,1,built
scalar,5000000,btree,ix_c20k,34.383,1228.722,1228.722–1228.722,30.073,1,built
scalar,5000000,btree,ix_nullable,33.148,1395.431,1395.431–1395.431,29.927,1,built
scalar,5000000,btree,ix_skew,33.219,1172.756,1172.756–1172.756,29.933,1,built
scalar,5000000,gin,ix_c1m,87.367,3576.725,3576.725–3576.725,44.594,1,built
scalar,5000000,gin,ix_c2,5.297,461.578,461.578–461.578,5.219,1,built
scalar,5000000,gin,ix_c20,7.047,521.653,521.653–521.653,6.797,1,built
scalar,5000000,gin,ix_c200,12.516,606.355,606.355–606.355,10.004,1,built
scalar,5000000,gin,ix_c20k,26.281,994.554,994.554–994.554,15.404,1,built
scalar,5000000,gin,ix_nullable,11.562,606.684,606.684–606.684,9.770,1,built
scalar,5000000,gin,ix_skew,6.883,568.206,568.206–568.206,6.088,1,built
scalar,5000000,roaring,ix_c1m,92.164,3592.553,3592.553–3592.553,82.831,1,built
scalar,5000000,roaring,ix_c2,11.797,3249.464,3249.464–3249.464,9.777,1,built
scalar,5000000,roaring,ix_c20,10.484,4203.008,4203.008–4203.008,10.174,1,built
scalar,5000000,roaring,ix_c200,15.742,4034.465,4034.465–4034.465,14.114,1,built
scalar,5000000,roaring,ix_c20k,39.289,3586.975,3586.975–3586.975,30.580,1,built
scalar,5000000,roaring,ix_nullable,16.695,4116.533,4116.533–4116.533,14.151,1,built
scalar,5000000,roaring,ix_skew,6.312,2868.331,2868.331–2868.331,5.137,1,built
scalar,5000000,roaring_btree,ix_c1m,92.164,3623.628,3623.628–3623.628,82.827,1,built
scalar,5000000,roaring_btree,ix_c1m_btree,56.258,1283.779,1283.779–1283.779,51.021,1,built
scalar,5000000,roaring_btree,ix_c2,11.797,3203.190,3203.190–3203.190,9.780,1,built
scalar,5000000,roaring_btree,ix_c20,10.484,4138.279,4138.279–4138.279,10.170,1,built
scalar,5000000,roaring_btree,ix_c200,15.742,4065.569,4065.569–4065.569,14.110,1,built
scalar,5000000,roaring_btree,ix_c20k,39.289,3567.124,3567.124–3567.124,30.576,1,built
scalar,5000000,roaring_btree,ix_nullable,16.695,4122.428,4122.428–4122.428,14.147,1,built
scalar,5000000,roaring_btree,ix_skew,6.312,2855.087,2855.087–2855.087,5.133,1,built
