Rows,Family,Operation,Elapsed attempt ms,WAL MiB,Indexes MiB after,Status
1000000,gin,insert,73.984,12.297,60.055,ok
1000000,gin,indexed_update,132.072,15.622,61.430,ok
1000000,gin,delete,136.261,73.227,61.430,ok
1000000,gin,vacuum,511.376,141.276,61.664,ok
1000000,btree,insert,148.740,32.628,59.383,ok
1000000,btree,indexed_update,257.392,36.895,59.750,ok
1000000,btree,delete,132.192,73.227,59.750,ok
1000000,btree,vacuum,365.608,133.804,59.750,ok
1000000,roaring,insert,235.798,51.022,67.820,ok
1000000,roaring,indexed_update,270.944,59.910,69.102,ok
1000000,roaring,delete,139.065,73.227,69.102,ok
1000000,roaring,vacuum,410.643,137.649,69.102,ok
5000000,roaring,insert,1086.168,176.908,193.938,ok
5000000,roaring,indexed_update,1886.217,209.364,198.266,ok
5000000,roaring,delete,1136.983,366.125,198.266,ok
5000000,roaring,vacuum,3763.182,569.338,198.266,ok
5000000,btree,insert,944.110,119.585,260.078,ok
5000000,btree,indexed_update,2480.284,138.527,263.102,ok
5000000,btree,delete,1833.611,366.125,263.102,ok
5000000,btree,vacuum,3498.823,634.379,263.102,ok
5000000,gin,insert,343.666,61.368,163.719,ok
5000000,gin,indexed_update,781.935,77.887,170.484,ok
5000000,gin,delete,995.094,366.125,170.484,ok
5000000,gin,vacuum,3684.041,587.331,172.297,ok
