2026-09-25 09:15:43.150 PDT [2049298] LOG:  registered custom resource manager "pg_lion" with ID 128
2026-09-25 09:15:43.179 PDT [2049298] LOG:  starting PostgreSQL 18.6 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit
2026-09-25 09:15:43.183 PDT [2049298] LOG:  listening on Unix socket "/tmp/lion-comparison-eyk44c9a/socket/.s.PGSQL.55449"
2026-09-25 09:15:43.192 PDT [2049304] LOG:  database system was shut down at 2026-09-25 09:15:42 PDT
2026-09-25 09:15:43.197 PDT [2049298] LOG:  database system is ready to accept connections
2026-09-25 09:15:45.476 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:45.660 PDT [2049302] LOG:  checkpoint complete: wrote 2214 buffers (3.4%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 10 recycled; write=0.029 s, sync=0.099 s, total=0.184 s; sync files=77, longest=0.047 s, average=0.002 s; distance=163759 kB, estimate=163759 kB; lsn=0/B6DB0A8, redo lsn=0/B6DB050
2026-09-25 09:15:46.230 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:46.270 PDT [2049302] LOG:  checkpoint complete: wrote 18 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.021 s, total=0.041 s; sync files=18, longest=0.007 s, average=0.002 s; distance=2079 kB, estimate=147591 kB; lsn=0/B8E2FF0, redo lsn=0/B8E2F98
2026-09-25 09:15:46.904 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:46.942 PDT [2049302] LOG:  checkpoint complete: wrote 16 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.019 s, total=0.038 s; sync files=17, longest=0.007 s, average=0.002 s; distance=2151 kB, estimate=133047 kB; lsn=0/BAFCC70, redo lsn=0/BAFCC18
2026-09-25 09:15:47.595 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:47.634 PDT [2049302] LOG:  checkpoint complete: wrote 16 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.020 s, total=0.040 s; sync files=17, longest=0.007 s, average=0.002 s; distance=2977 kB, estimate=120040 kB; lsn=0/BDE5388, redo lsn=0/BDE5330
2026-09-25 09:15:48.216 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:15:48.258 PDT [2049302] LOG:  checkpoint complete: wrote 16 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.020 s, total=0.043 s; sync files=17, longest=0.009 s, average=0.002 s; distance=7188 kB, estimate=108754 kB; lsn=0/C4EA400, redo lsn=0/C4EA3A8
2026-09-25 09:15:49.076 PDT [2049302] LOG:  checkpoint starting: immediate force wait
