Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
documents,200000,clean,default,64MB,array_and,gin,3,0.851,0.831–0.865,0.864,2.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.058,0.910
documents,200000,clean,default,64MB,array_and,roaring,3,0.117,0.116–0.118,0.118,0.9%,—,LionCount,0.078,0.195
documents,200000,clean,default,64MB,array_and,roaring_bitmap,3,0.196,0.168–0.216,0.214,12.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.053,0.244
documents,200000,clean,default,64MB,array_common,gin,3,3.891,3.869–4.012,4.000,2.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.057,3.949
documents,200000,clean,default,64MB,array_common,roaring,3,0.023,0.023–0.024,0.024,2.5%,—,LionCount,0.079,0.102
documents,200000,clean,default,64MB,array_common,roaring_bitmap,3,3.206,3.119–3.288,3.280,2.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.059,3.263
documents,200000,clean,default,64MB,array_or,gin,3,6.606,6.324–7.345,7.271,7.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.054,6.682
documents,200000,clean,default,64MB,array_or,roaring,3,0.210,0.209–0.228,0.226,5.0%,—,LionCount,0.082,0.293
documents,200000,clean,default,64MB,array_or,roaring_bitmap,3,4.946,4.819–5.011,5.005,2.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.055,5.001
documents,200000,clean,default,64MB,ts_and,gin,3,0.992,0.991–1.015,1.013,1.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,1.040
documents,200000,clean,default,64MB,ts_and,roaring,3,0.120,0.118–0.125,0.124,3.0%,—,LionCount,0.066,0.186
documents,200000,clean,default,64MB,ts_and,roaring_bitmap,3,0.189,0.183–0.192,0.192,2.4%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.045,0.234
documents,200000,clean,default,64MB,ts_common,gin,3,28.862,28.131–29.640,29.562,2.6%,—,Seq Scan (fallback),0.046,28.910
documents,200000,clean,default,64MB,ts_common,roaring,3,0.029,0.029–0.030,0.030,2.0%,—,LionCount,0.062,0.091
documents,200000,clean,default,64MB,ts_common,roaring_bitmap,3,26.322,26.056–29.165,28.881,6.3%,—,Seq Scan (fallback),0.043,26.365
documents,200000,clean,default,64MB,ts_fetch,gin,3,4.341,4.177–4.358,4.356,2.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.052,4.391
documents,200000,clean,default,64MB,ts_fetch,roaring,3,3.694,3.537–3.703,3.702,2.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.050,3.745
documents,200000,clean,default,64MB,ts_fetch,roaring_bitmap,3,3.444,3.442–3.659,3.637,3.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.048,3.492
documents,200000,clean,default,64MB,ts_phrase,gin,3,7.182,7.108–7.237,7.232,0.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.045,7.227
documents,200000,clean,default,64MB,ts_phrase,roaring,3,28.655,28.476–29.458,29.378,1.8%,—,Seq Scan (fallback),0.044,28.695
documents,200000,clean,default,64MB,ts_phrase,roaring_bitmap,3,28.629,28.459–28.726,28.716,0.5%,—,Seq Scan (fallback),0.044,28.673
documents,200000,clean,default,64MB,ts_prefix,gin,3,1.637,1.636–1.640,1.640,0.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.050,1.687
documents,200000,clean,default,64MB,ts_prefix,roaring,3,21.323,21.222–22.068,21.994,2.1%,—,Seq Scan (fallback),0.045,21.363
documents,200000,clean,default,64MB,ts_prefix,roaring_bitmap,3,22.091,21.418–22.168,22.160,1.9%,—,Seq Scan (fallback),0.044,22.132
documents,200000,clean,default,64MB,ts_rare,gin,3,0.036,0.036–0.060,0.058,31.5%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.049,0.085
documents,200000,clean,default,64MB,ts_rare,roaring,3,0.012,0.011–0.014,0.014,12.4%,—,LionCount,0.061,0.073
documents,200000,clean,default,64MB,ts_rare,roaring_bitmap,3,0.036,0.034–0.036,0.036,3.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.042,0.078
documents,200000,clean,default,64MB,ts_tree,gin,3,3.577,3.556–3.755,3.737,3.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.046,3.620
