suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
documents,200000,gin,clean,default,64MB,array_and,2,0.9564999999999999,0.941,0.972,0.067,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_common,2,4.9085,3.852,5.965,0.07500000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_or,2,8.0405,7.55,8.531,0.07100000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_and,2,1.069,1.019,1.119,0.047,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_common,2,35.2435,34.011,36.476,0.05,Seq Scan,,,,
documents,200000,gin,clean,default,64MB,ts_fetch,2,4.9030000000000005,4.436,5.37,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_phrase,2,7.8934999999999995,7.414,8.373,0.062,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_prefix,2,1.7205,1.681,1.76,0.0505,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,array_and,2,0.11499999999999999,0.112,0.118,0.0905,LionCount,,,,
documents,200000,roaring,clean,default,64MB,array_common,2,0.0245,0.024,0.025,0.081,LionCount,,,,
documents,200000,roaring,clean,default,64MB,array_or,2,0.2765,0.232,0.321,0.124,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_and,2,0.11599999999999999,0.112,0.12,0.0805,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_common,2,0.03,0.03,0.03,0.066,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_fetch,2,5.6995000000000005,5.452,5.947,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,ts_phrase,2,46.614000000000004,45.359,47.869,0.0595,Seq Scan,,,,
documents,200000,roaring,clean,default,64MB,ts_prefix,2,29.4635,28.111,30.816,0.061,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_and,2,0.1885,0.184,0.193,0.0635,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_common,2,3.4785,3.335,3.622,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_or,2,5.773,5.563,5.983,0.056,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_and,2,0.1815,0.181,0.182,0.0475,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_common,2,31.3825,31.375,31.39,0.045,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_fetch,2,4.202999999999999,4.085,4.321,0.056999999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_phrase,2,36.467,35.115,37.819,0.0445,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_prefix,2,26.9135,26.624,27.203,0.0485,Seq Scan,,,,
scalar,1000000,btree,after_maintenance,default,64MB,eq_c200_17,2,0.355,0.336,0.374,0.041499999999999995,Index Only Scan,,,,
scalar,1000000,btree,after_maintenance,default,64MB,group_c200,2,86.8295,85.525,88.134,0.035,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,and2,2,2.7635,2.742,2.785,0.0385,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,and3,2,2.5655,2.493,2.638,0.066,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,eq_c200_17,2,0.318,0.314,0.322,0.033,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c20k_123,2,0.0215,0.02,0.023,0.035500000000000004,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c2_0,2,32.336,32.016,32.656,0.033,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,fetch_medium,2,3.5775,2.872,4.283,0.037,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,group_c200,2,85.142,84.837,85.447,0.034,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,in_c20k_100,2,0.3245,0.315,0.334,0.0955,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,is_null,2,7.7575,7.494,8.021,0.0295,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,range_random,2,0.2985,0.298,0.299,0.051000000000000004,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,and2,2,3.0244999999999997,2.892,3.157,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,0.348,0.348,0.348,0.0615,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,72.7825,72.753,72.812,0.047,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,group_c200,2,142.2215,139.901,144.542,0.041999999999999996,Seq Scan,,,,
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,78.75,77.654,79.846,0.0555,Index Only Scan,,,,
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.128,2.8,3.456,0.08,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,150.6455,148.155,153.136,0.0435,Seq Scan,,,,
