suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
documents,200000,gin,clean,default,64MB,array_and,2,0.9335,0.843,1.024,0.056,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_common,2,4.446999999999999,4.132,4.762,0.0655,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_or,2,10.6835,9.862,11.505,0.0885,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_and,2,1.0955,1.034,1.157,0.0685,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_common,2,46.995,44.577,49.413,0.0675,Seq Scan,,,,
documents,200000,gin,clean,default,64MB,ts_fetch,2,6.946,6.167,7.725,0.0705,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_phrase,2,11.1115,9.95,12.273,0.07250000000000001,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_prefix,2,2.148,2.136,2.16,0.0645,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,array_and,2,0.1195,0.118,0.121,0.077,RoaringCount,,,,
documents,200000,roaring,clean,default,64MB,array_common,2,0.0335,0.024,0.043,0.0945,RoaringCount,,,,
documents,200000,roaring,clean,default,64MB,array_or,2,0.3085,0.291,0.326,0.121,RoaringCount,,,,
documents,200000,roaring,clean,default,64MB,ts_and,2,0.114,0.112,0.116,0.08,RoaringCount,,,,
documents,200000,roaring,clean,default,64MB,ts_common,2,0.037,0.031,0.043,0.066,RoaringCount,,,,
documents,200000,roaring,clean,default,64MB,ts_fetch,2,5.3855,5.363,5.408,0.0525,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,ts_phrase,2,83.315,82.993,83.637,0.08,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,ts_prefix,2,73.24549999999999,72.26,74.231,0.061,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_and,2,0.248,0.236,0.26,0.074,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_common,2,5.588,5.549,5.627,0.0755,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_or,2,8.05,7.801,8.299,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_and,2,0.2475,0.221,0.274,0.057,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_common,2,39.3945,38.778,40.011,0.065,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_fetch,2,5.766,5.408,6.124,0.09,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_phrase,2,91.1185,89.232,93.005,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_prefix,2,76.35249999999999,71.097,81.608,0.048,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,after_maintenance,default,64MB,eq_c200_17,2,0.383,0.361,0.405,0.055,Index Only Scan,,,,
scalar,1000000,btree,after_maintenance,default,64MB,group_c200,2,93.219,89.353,97.085,0.04,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,and2,2,3.1195,2.915,3.324,0.056999999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,and3,2,3.2445,3.073,3.416,0.0445,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,eq_c200_17,2,0.493,0.351,0.635,0.052500000000000005,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c20k_123,2,0.0265,0.023,0.03,0.0675,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c2_0,2,36.283,34.794,37.772,0.0505,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,fetch_medium,2,4.4205,3.65,5.191,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,group_c200,2,93.6455,90.133,97.158,0.043,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,in_c20k_100,2,0.358,0.331,0.385,0.1,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,is_null,2,7.2775,7.097,7.458,0.032,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,range_random,2,0.361,0.313,0.409,0.123,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,and2,2,3.7375000000000003,3.402,4.073,0.053000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,0.33799999999999997,0.326,0.35,0.0465,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,77.58449999999999,75.112,80.057,0.048,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,group_c200,2,158.756,151.151,166.361,0.149,Seq Scan,,,,
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,90.3075,88.974,91.641,0.056,Index Only Scan,,,,
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.3055,2.807,3.804,0.05,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,148.534,148.292,148.776,0.041499999999999995,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,and2,2,34.2575,34.004,34.511,0.051500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3,2,5.298500000000001,5.272,5.325,0.051000000000000004,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c200_17,2,3.197,3.122,3.272,0.0635,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c20k_123,2,0.057,0.047,0.067,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,eq_c2_0,2,93.519,91.872,95.166,0.0435,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,fetch_medium,2,3.178,3.105,3.251,0.045,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,group_c200,2,145.74599999999998,141.006,150.486,0.041999999999999996,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,in_c20k_100,2,3.6835,3.661,3.706,0.1365,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,is_null,2,57.492000000000004,56.947,58.037,0.0235,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,range_random,2,41.405,40.589,42.221,0.052500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,and2,2,37.1575,36.045,38.27,0.069,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,3.9885,3.512,4.465,0.078,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,100.06649999999999,99.292,100.841,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,dirty_scattered,default,64MB,group_c200,2,148.6485,147.497,149.8,0.0325,Seq Scan,,,,
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,143.4845,143.168,143.801,0.052,Seq Scan,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.0545,0.054,0.055,0.063,RoaringCount,,,,
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,154.238,146.498,161.978,0.047,Seq Scan,,,,
scalar,1000000,roaring,clean,default,64MB,and2,2,0.34450000000000003,0.338,0.351,0.041,RoaringCount,,,,
scalar,1000000,roaring,clean,default,64MB,and3,2,0.3195,0.26,0.379,0.094,RoaringCount,,,,
