suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
documents,200000,gin,clean,default,64MB,array_and,2,0.875,0.874,0.876,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_common,2,3.872,3.869,3.875,0.0515,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,array_or,2,6.580500000000001,6.546,6.615,0.0525,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_and,2,1.016,1.009,1.023,0.046,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_common,2,30.075000000000003,29.684,30.466,0.044,Seq Scan,,,,
documents,200000,gin,clean,default,64MB,ts_fetch,2,4.247,4.209,4.285,0.0495,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_phrase,2,6.8740000000000006,6.828,6.92,0.057,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,gin,clean,default,64MB,ts_prefix,2,1.5915,1.573,1.61,0.0675,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,array_and,2,0.14100000000000001,0.126,0.156,0.07350000000000001,LionCount,,,,
documents,200000,roaring,clean,default,64MB,array_common,2,0.0245,0.023,0.026,0.094,LionCount,,,,
documents,200000,roaring,clean,default,64MB,array_or,2,0.2595,0.24,0.279,0.0915,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_and,2,0.14650000000000002,0.139,0.154,0.063,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_common,2,0.03,0.03,0.03,0.0655,LionCount,,,,
documents,200000,roaring,clean,default,64MB,ts_fetch,2,3.984,3.863,4.105,0.055,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring,clean,default,64MB,ts_phrase,2,35.04900000000001,34.276,35.822,0.05,Seq Scan,,,,
documents,200000,roaring,clean,default,64MB,ts_prefix,2,24.926000000000002,24.69,25.162,0.068,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_and,2,0.227,0.227,0.227,0.0545,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_common,2,3.7030000000000003,3.555,3.851,0.058499999999999996,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,array_or,2,5.665,5.244,6.086,0.054,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_and,2,0.21550000000000002,0.202,0.229,0.045,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_common,2,31.783,30.792,32.774,0.046,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_fetch,2,4.5215,4.438,4.605,0.055499999999999994,"Bitmap Heap Scan, Bitmap Index Scan",,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_phrase,2,33.2255,31.144,35.307,0.0615,Seq Scan,,,,
documents,200000,roaring_bitmap,clean,default,64MB,ts_prefix,2,30.086999999999996,27.953,32.221,0.055,Seq Scan,,,,
scalar,1000000,btree,after_maintenance,default,64MB,eq_c200_17,2,0.417,0.409,0.425,0.035500000000000004,Index Only Scan,,,,
scalar,1000000,btree,after_maintenance,default,64MB,group_c200,2,97.9725,97.235,98.71,0.037000000000000005,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,and2,2,2.649,2.599,2.699,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,and3,2,2.579,2.563,2.595,0.054,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,and3_selective,2,0.3265,0.318,0.335,0.043,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,eq_c200_17,2,0.325,0.319,0.331,0.033,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c20k_123,2,0.02,0.019,0.021,0.034,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,eq_c2_0,2,31.119999999999997,30.395,31.845,0.0475,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,fetch_medium,2,2.8075,2.705,2.91,0.036500000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,clean,default,64MB,group_c200,2,80.019,79.631,80.407,0.033,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,in_c20k_100,2,0.3195,0.314,0.325,0.08449999999999999,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,is_null,2,6.67,6.55,6.79,0.0285,Index Only Scan,,,,
scalar,1000000,btree,clean,default,64MB,range_random,2,0.312,0.302,0.322,0.065,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,and2,2,3.314,3.25,3.378,0.0505,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,0.34750000000000003,0.324,0.371,0.036000000000000004,Index Only Scan,,,,
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,67.0745,66.667,67.482,0.035,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,btree,dirty_scattered,default,64MB,group_c200,2,144.4105,140.295,148.526,0.036000000000000004,Seq Scan,,,,
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,85.4945,82.396,88.593,0.035,Index Only Scan,,,,
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.545,3.458,3.632,0.052000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,149.303,146.304,152.302,0.0315,Seq Scan,,,,
scalar,1000000,gin,clean,default,64MB,and2,2,34.171,33.935,34.407,0.041499999999999995,"Bitmap Heap Scan, Bitmap Index Scan",,,,
scalar,1000000,gin,clean,default,64MB,and3,2,5.4094999999999995,5.266,5.553,0.065,"Bitmap Heap Scan, Bitmap Index Scan",,,,
