suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
documents,200000,gin,clean,default,64MB,array_and,2,0.869,0.86,0.878,0.058,"Bitmap Heap Scan, Bitmap Index Scan",0.9564999999999999,-9.147935180345002,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,array_common,2,3.9939999999999998,3.901,4.087,0.0535,"Bitmap Heap Scan, Bitmap Index Scan",4.9085,-18.630946317612306,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,array_or,2,6.6165,6.608,6.625,0.056,"Bitmap Heap Scan, Bitmap Index Scan",8.0405,-17.710341396679308,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,ts_and,2,1.0295,1.001,1.058,0.0475,"Bitmap Heap Scan, Bitmap Index Scan",1.069,-3.6950420954162677,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,ts_common,2,29.555,29.021,30.089,0.045,Seq Scan,35.2435,-16.14056492686594,Seq Scan,False
documents,200000,gin,clean,default,64MB,ts_fetch,2,4.4565,4.336,4.577,0.053,"Bitmap Heap Scan, Bitmap Index Scan",4.9030000000000005,-9.10666938609016,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,ts_phrase,2,7.0885,6.804,7.373,0.0555,"Bitmap Heap Scan, Bitmap Index Scan",7.8934999999999995,-10.198264394755174,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,gin,clean,default,64MB,ts_prefix,2,1.673,1.664,1.682,0.051,"Bitmap Heap Scan, Bitmap Index Scan",1.7205,-2.7608253414704964,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring,clean,default,64MB,array_and,2,0.14900000000000002,0.128,0.17,0.078,LionCount,0.11499999999999999,29.565217391304376,LionCount,False
documents,200000,roaring,clean,default,64MB,array_common,2,0.025,0.025,0.025,0.0795,LionCount,0.0245,2.0408163265306145,LionCount,False
documents,200000,roaring,clean,default,64MB,array_or,2,0.2445,0.242,0.247,0.089,LionCount,0.2765,-11.573236889692595,LionCount,False
documents,200000,roaring,clean,default,64MB,ts_and,2,0.1345,0.131,0.138,0.0815,LionCount,0.11599999999999999,15.948275862068972,LionCount,False
documents,200000,roaring,clean,default,64MB,ts_common,2,0.0315,0.031,0.032,0.067,LionCount,0.03,5.000000000000004,LionCount,False
documents,200000,roaring,clean,default,64MB,ts_fetch,2,4.0680000000000005,3.853,4.283,0.053,"Bitmap Heap Scan, Bitmap Index Scan",5.6995000000000005,-28.625318010351787,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring,clean,default,64MB,ts_phrase,2,35.391000000000005,33.276,37.506,0.0565,Seq Scan,46.614000000000004,-24.076457716565834,Seq Scan,False
documents,200000,roaring,clean,default,64MB,ts_prefix,2,27.441000000000003,25.925,28.957,0.0495,Seq Scan,29.4635,-6.8644254755884315,Seq Scan,False
documents,200000,roaring_bitmap,clean,default,64MB,array_and,2,0.208,0.204,0.212,0.055999999999999994,"Bitmap Heap Scan, Bitmap Index Scan",0.1885,10.344827586206895,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring_bitmap,clean,default,64MB,array_common,2,3.4735,3.376,3.571,0.0565,"Bitmap Heap Scan, Bitmap Index Scan",3.4785,-0.14374011786689733,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring_bitmap,clean,default,64MB,array_or,2,5.5235,5.187,5.86,0.063,"Bitmap Heap Scan, Bitmap Index Scan",5.773,-4.321843062532471,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring_bitmap,clean,default,64MB,ts_and,2,0.21500000000000002,0.201,0.229,0.051000000000000004,"Bitmap Heap Scan, Bitmap Index Scan",0.1815,18.457300275482112,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring_bitmap,clean,default,64MB,ts_common,2,28.9105,28.384,29.437,0.045,Seq Scan,31.3825,-7.877001513582416,Seq Scan,False
documents,200000,roaring_bitmap,clean,default,64MB,ts_fetch,2,3.763,3.755,3.771,0.0555,"Bitmap Heap Scan, Bitmap Index Scan",4.202999999999999,-10.468712824173199,"Bitmap Heap Scan, Bitmap Index Scan",False
documents,200000,roaring_bitmap,clean,default,64MB,ts_phrase,2,32.6935,31.49,33.897,0.045,Seq Scan,36.467,-10.34771162969259,Seq Scan,False
documents,200000,roaring_bitmap,clean,default,64MB,ts_prefix,2,25.601,24.798,26.404,0.0595,Seq Scan,26.9135,-4.876734724209042,Seq Scan,False
scalar,1000000,btree,after_maintenance,default,64MB,eq_c200_17,2,0.345,0.34,0.35,0.0415,Index Only Scan,0.355,-2.8169014084507116,Index Only Scan,False
scalar,1000000,btree,after_maintenance,default,64MB,group_c200,2,88.2745,82.022,94.527,0.0345,Index Only Scan,86.8295,1.664180952326122,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,and2,2,2.6390000000000002,2.614,2.664,0.0375,"Bitmap Heap Scan, Bitmap Index Scan",2.7635,-4.505156504432783,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,btree,clean,default,64MB,and3,2,2.6045,2.59,2.619,0.044,"Bitmap Heap Scan, Bitmap Index Scan",2.5655,1.5201715065289223,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,btree,clean,default,64MB,eq_c200_17,2,0.34550000000000003,0.325,0.366,0.033,Index Only Scan,0.318,8.647798742138368,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,eq_c20k_123,2,0.022,0.022,0.022,0.033,Index Only Scan,0.0215,2.3255813953488413,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,eq_c2_0,2,33.816500000000005,30.817,36.816,0.0325,Index Only Scan,32.336,4.578488372093048,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,fetch_medium,2,3.6109999999999998,3.469,3.753,0.0385,"Bitmap Heap Scan, Bitmap Index Scan",3.5775,0.9364081062194218,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,btree,clean,default,64MB,group_c200,2,80.8185,79.496,82.141,0.035,Index Only Scan,85.142,-5.077987362288883,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,in_c20k_100,2,0.323,0.318,0.328,0.087,Index Only Scan,0.3245,-0.46224961479198745,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,is_null,2,6.743,6.726,6.76,0.028,Index Only Scan,7.7575,-13.077666774089591,Index Only Scan,False
scalar,1000000,btree,clean,default,64MB,range_random,2,0.313,0.31,0.316,0.051,Index Only Scan,0.2985,4.8576214405360085,Index Only Scan,False
scalar,1000000,btree,dirty_scattered,default,64MB,and2,2,3.1494999999999997,3.026,3.273,0.041499999999999995,"Bitmap Heap Scan, Bitmap Index Scan",3.0244999999999997,4.132914531327492,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,0.33999999999999997,0.334,0.346,0.0475,Index Only Scan,0.348,-2.298850574712641,Index Only Scan,False
scalar,1000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,68.3995,68.161,68.638,0.049,"Bitmap Heap Scan, Bitmap Index Scan",72.7825,-6.02205200425926,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,btree,dirty_scattered,default,64MB,group_c200,2,143.0235,142.198,143.849,0.044,Seq Scan,142.2215,0.56390911360098,Seq Scan,False
scalar,1000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,80.267,79.864,80.67,0.036000000000000004,Index Only Scan,78.75,1.9263492063491983,Index Only Scan,False
scalar,1000000,gin,after_maintenance,default,64MB,eq_c200_17,2,3.2315,3.22,3.243,0.065,"Bitmap Heap Scan, Bitmap Index Scan",3.128,3.308823529411753,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,after_maintenance,default,64MB,group_c200,2,155.277,152.492,158.062,0.035,Seq Scan,150.6455,3.074436342273734,Seq Scan,False
scalar,1000000,gin,clean,default,64MB,and2,2,32.556,32.286,32.826,0.0525,"Bitmap Heap Scan, Bitmap Index Scan",33.4695,-2.7293506027876058,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,and3,2,5.067,5.031,5.103,0.0505,"Bitmap Heap Scan, Bitmap Index Scan",5.069,-0.0394555139080599,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,eq_c200_17,2,3.2005,3.117,3.284,0.037,"Bitmap Heap Scan, Bitmap Index Scan",2.827,13.211885390873723,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,eq_c20k_123,2,0.0495,0.047,0.052,0.037500000000000006,"Bitmap Heap Scan, Bitmap Index Scan",0.0505,-1.980198019801982,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,eq_c2_0,2,93.52000000000001,92.072,94.968,0.037000000000000005,"Bitmap Heap Scan, Bitmap Index Scan",93.01050000000001,0.5477876153767713,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,fetch_medium,2,3.132,3.067,3.197,0.0405,"Bitmap Heap Scan, Bitmap Index Scan",3.2285,-2.9890041815084367,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,group_c200,2,140.827,140.186,141.468,0.0405,Seq Scan,142.057,-0.8658496237425761,Seq Scan,False
scalar,1000000,gin,clean,default,64MB,in_c20k_100,2,3.503,3.421,3.585,0.10450000000000001,"Bitmap Heap Scan, Bitmap Index Scan",3.417,2.516827626573037,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,clean,default,64MB,is_null,2,61.439,58.462,64.416,0.0265,Seq Scan,56.189499999999995,9.34249281449382,Seq Scan,False
scalar,1000000,gin,clean,default,64MB,range_random,2,41.853,39.011,44.695,0.054,"Bitmap Heap Scan, Bitmap Index Scan",38.5325,8.617400895348082,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,dirty_scattered,default,64MB,and2,2,33.7995,33.194,34.405,0.0695,"Bitmap Heap Scan, Bitmap Index Scan",34.0355,-0.6933936624994419,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,3.2640000000000002,3.15,3.378,0.047,"Bitmap Heap Scan, Bitmap Index Scan",3.01,8.438538205980084,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,90.3125,89.843,90.782,0.058499999999999996,"Bitmap Heap Scan, Bitmap Index Scan",88.2225,2.3690101731417723,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,gin,dirty_scattered,default,64MB,group_c200,2,144.748,138.648,150.848,0.034,Seq Scan,146.72699999999998,-1.348763349622073,Seq Scan,False
scalar,1000000,gin,dirty_scattered,prefer_index,64MB,group_c200,2,148.52,145.883,151.157,0.0505,Seq Scan,141.8125,4.729836932569431,Seq Scan,False
scalar,1000000,roaring,after_maintenance,default,64MB,eq_c200_17,2,0.0385,0.038,0.039,0.0365,LionCount,0.049,-21.42857142857143,LionCount,False
scalar,1000000,roaring,after_maintenance,default,64MB,group_c200,2,4.550000000000001,4.546,4.554,0.033,LionCount,4.4635,1.937941077629679,LionCount,False
scalar,1000000,roaring,clean,default,64MB,and2,2,0.372,0.363,0.381,0.043,LionCount,0.357,4.201680672268915,LionCount,False
scalar,1000000,roaring,clean,default,64MB,and3,2,0.317,0.31,0.324,0.063,LionCount,0.29500000000000004,7.457627118644061,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c200_17,2,0.027,0.026,0.028,0.035500000000000004,LionCount,0.028499999999999998,-5.263157894736836,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c20k_123,2,0.014499999999999999,0.013,0.016,0.038,LionCount,0.0165,-12.121212121212132,LionCount,False
scalar,1000000,roaring,clean,default,64MB,eq_c2_0,2,0.3565,0.356,0.357,0.0395,LionCount,0.40800000000000003,-12.622549019607854,LionCount,False
scalar,1000000,roaring,clean,default,64MB,fetch_medium,2,3.1955,3.158,3.233,0.0485,"Bitmap Heap Scan, Bitmap Index Scan",3.0285,5.514280997193333,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,1000000,roaring,clean,default,64MB,group_c200,2,3.7535,3.724,3.783,0.0325,LionCount,3.8739999999999997,-3.1104801239029367,LionCount,False
scalar,1000000,roaring,clean,default,64MB,in_c20k_100,2,0.16,0.159,0.161,0.132,LionCount,0.5765,-72.24631396357329,LionCount,False
scalar,1000000,roaring,clean,default,64MB,is_null,2,0.0925,0.092,0.093,0.038000000000000006,LionCount,0.114,-18.85964912280702,LionCount,False
